Course_Name,Category,Duration (hours),Enrolled_Students,Completion_Rate (%),Platform,Price ($),Rank
Anon_Course_001,Business,40,4113,84.39326268,Platform1,74.71316723,4.907872801
Anon_Course_002,Business,40,2541,73.43917581,Platform1,97.1708525,4.195351213
Anon_Course_003,Data Science,40,3220,77.67584815,Platform2,67.53990938,4.359643222
Anon_Course_004,Data Science,40,4176,88.2732874,Platform3,88.9346569,4.661745679
Anon_Course_005,Design,40,4563,92.25752281,Platform2,72.87232547,4.851386955
Anon_Course_006,Design,40,2769,79.44224934,Platform1,76.08704621,4.022448262
Anon_Course_007,Finance,40,3381,81.04289262,Platform1,50.79496466,4.477390204
Anon_Course_008,Finance,40,3535,87.37372752,Platform4,54.62209112,4.432414264
Anon_Course_009,Marketing,40,3685,98.53482526,Platform3,61.29901788,4.971366527
Anon_Course_010,Marketing,40,2284,72.64307132,Platform1,67.40614571,4.093126793
Anon_Course_011,Office Tools,40,3981,79.01931801,Platform3,70.9630392,4.563147875
Anon_Course_012,Programming,40,2483,71.65349672,Platform3,99.87293765,4.082331897
Anon_Course_013,Business,41,3532,87.08444059,Platform3,54.17993934,4.648916263
Anon_Course_014,Business,41,3892,81.60935347,Platform2,73.84548761,4.78916605
Anon_Course_015,Business,41,4708,94.50593203,Platform2,87.813579,4.848357402
Anon_Course_016,Business,41,3059,81.34800652,Platform3,91.5749259,4.719767751
Anon_Course_017,Business,41,2605,89.84949103,Platform2,99.118611,4.192989191
Anon_Course_018,Design,41,3931,76.81404816,Platform4,81.5406827,4.281652551
Anon_Course_019,Finance,41,2399,74.44299445,Platform4,88.03592974,4.040175526
Anon_Course_020,Marketing,41,2964,87.70720301,Platform3,80.6296775,4.18106957
Anon_Course_021,Office Tools,41,2928,76.88601117,Platform2,74.81079022,4.249767423
Anon_Course_022,Office Tools,41,3704,97.43563626,Platform1,87.9730928,4.725529565
Anon_Course_023,Office Tools,41,2608,72.0642125,Platform2,89.5076473,4.119048506
Anon_Course_024,Programming,41,2582,86.25570775,Platform4,91.7217852,4.185899323
Anon_Course_025,Technology,41,3490,82.69659011,Platform4,54.60362106,4.507338843
Anon_Course_026,Business,42,2445,74.2331122,Platform1,82.6398963,4.109604475
Anon_Course_027,Data Science,42,3322,92.8736621,Platform1,65.65906414,4.942837365
Anon_Course_028,Data Science,42,3360,76.9962376,Platform1,95.9263772,4.466238422
Anon_Course_029,Design,42,2110,84.55914669,Platform2,95.6346162,4.15635079
Anon_Course_030,Finance,42,4527,96.91927674,Platform2,50.49443292,4.553940135
Anon_Course_031,Finance,42,3475,84.52127136,Platform1,51.06827043,4.604086453
Anon_Course_032,Marketing,42,3252,88.44471414,Platform2,90.6897606,4.37449001
Anon_Course_033,Office Tools,42,2058,79.67726587,Platform2,72.64675697,4.008666071
Anon_Course_034,Office Tools,42,3153,89.41134649,Platform3,97.68640597,4.441535295
Anon_Course_035,Office Tools,42,3528,89.70932912,Platform2,88.2380745,4.634084272
