商品编码,商品名称,年份,第一计量单位编码,第一计量单位名称,第二计量单位编码,第二计量单位名称
0,改良种用马,2025,9,千克,1,头
1,其他马，改良种用除外,2025,9,千克,1,头
2,驴,2025,9,千克,1,头
3,骡,2025,9,千克,1,头
4,改良种用家牛,2025,9,千克,1,头
5,其他家牛，改良种用除外,2025,9,千克,1,头
6,改良种用水牛,2025,9,千克,1,头
7,其他水牛，改良种用除外,2025,9,千克,1,头
8,其他牛,2025,9,千克,1,头
9,改良种用猪,2025,9,千克,1,头
10,其他猪，重量＜50kg,2025,9,千克,1,头
11,其他猪，重量≥50kg,2025,9,千克,1,头
12,绵羊,2025,9,千克,1,头
13,山羊,2025,9,千克,1,头
14,鸡，重量≤185g,2025,9,千克,1,只
15,火鸡,2025,9,千克,1,只
16,鸭,2025,9,千克,1,只
17,鹅,2025,9,千克,1,只
18,珍珠鸡,2025,9,千克,1,只
19,鸡，重量＞185g,2025,9,千克,1,只
20,鸭、鹅、火鸡及珍珠鸡，重量＞185克,2025,9,千克,1,只
21,灵长目动物,2025,9,千克,1,只
22,鲸、海豚及鼠海豚；海牛及儒艮；海豹、海狮及海象,2025,9,千克,1,只
23,骆驼及其他骆驼科动物,2025,9,千克,1,只
24,家兔及野兔,2025,9,千克,1,只
25,其他哺乳动物,2025,9,千克,1,只
26,爬行动物（包括蛇及龟、鳖）,2025,9,千克,1,只
27,猛禽,2025,9,千克,1,只
28,鹦形目鸟（包括普通鹦鹉、长尾鹦鹉等）,2025,9,千克,1,只
29,鸵鸟；鸸鹋,2025,9,千克,1,只
30,其他鸟,2025,9,千克,1,只
31,蜂,2025,9,千克,1,只
32,其他昆虫,2025,9,千克,1,只
33,其他活动物,2025,9,千克,1,只
34,鲜、冷整头及半头牛肉,2025,9,千克,?,?
35,鲜、冷带骨牛肉,2025,9,千克,?,?
36,鲜、冷去骨牛肉,2025,9,千克,?,?
37,冻整头及半头牛肉,2025,9,千克,?,?
38,冻带骨牛肉,2025,9,千克,?,?
39,冻去骨牛肉,2025,9,千克,?,?
40,鲜、冷整头及半头猪肉,2025,9,千克,?,?
41,鲜、冷带骨猪前腿、猪后腿及其肉块,2025,9,千克,?,?
42,其他鲜、冷猪肉,2025,9,千克,?,?
43,冻整头及半头猪肉,2025,9,千克,?,?
44,冻带骨猪前腿、猪后腿及其肉块,2025,9,千克,?,?
45,其他冻猪肉,2025,9,千克,?,?
46,鲜、冷整头及半头羔羊肉,2025,9,千克,?,?
47,鲜、冷整头及半头绵羊肉,2025,9,千克,?,?
48,鲜、冷带骨绵羊肉,2025,9,千克,?,?
49,鲜、冷去骨绵羊肉,2025,9,千克,?,?
50,冻整头及半头羔羊肉,2025,9,千克,?,?
51,冻整头及半头绵羊肉,2025,9,千克,?,?
52,冻带骨绵羊肉,2025,9,千克,?,?
53,冻去骨绵羊肉,2025,9,千克,?,?
54,鲜、冷、冻山羊肉,2025,9,千克,?,?
55,鲜、冷、冻马、驴、骡肉,2025,9,千克,?,?
56,鲜、冷牛杂碎,2025,9,千克,?,?
57,冻牛舌,2025,9,千克,?,?
58,冻牛肝,2025,9,千克,?,?
59,其他冻牛杂碎,2025,9,千克,?,?
60,鲜、冷猪杂碎,2025,9,千克,?,?
61,冻猪肝,2025,9,千克,?,?
62,其他冻猪杂碎,2025,9,千克,?,?
63,其他鲜、冷杂碎（牛、猪杂碎除外）,2025,9,千克,?,?
64,其他冻杂碎（牛、猪杂碎除外）,2025,9,千克,?,?
65,整只鸡，鲜或冷的,2025,9,千克,?,?
66,整只鸡，冻的,2025,9,千克,?,?
67,鸡块及杂碎，鲜或冷的,2025,9,千克,?,?
68,鸡块及杂碎，冻的,2025,9,千克,?,?
69,整只火鸡，鲜或冷的,2025,9,千克,?,?
70,整只火鸡，冻的,2025,9,千克,?,?
71,火鸡块及杂碎，鲜或冷的,2025,9,千克,?,?
72,火鸡块及杂碎，冻的,2025,9,千克,?,?
73,鲜或冷的整只鸭,2025,9,千克,?,?
74,整只冻鸭,2025,9,千克,?,?
75,鲜或冷的鸭肥肝,2025,9,千克,?,?
76,鲜或冷的鸭块及杂碎,2025,9,千克,?,?
77,冻的鸭块及杂碎,2025,9,千克,?,?
78,鲜或冷的整只鹅,2025,9,千克,?,?
79,整只冻鹅,2025,9,千克,?,?
80,鲜或冷的鹅肥肝,2025,9,千克,?,?
81,鲜或冷的鹅块及杂碎,2025,9,千克,?,?
82,冻的鹅块及杂碎,2025,9,千克,?,?
83,鲜、冷、冻的珍珠鸡及杂碎,2025,9,千克,?,?
84,鲜、冷、冻家兔或野兔肉及食用杂碎,2025,9,千克,?,?
85,鲜、冷、冻灵长目动物肉及食用杂碎,2025,9,千克,?,?
86,鲜、冷、冻的鲸、海豚及鼠海豚的、海牛及儒艮的以及海豹、海狮及海象的肉及食用杂碎,2025,9,千克,?,?
87,鲜、冷、冻爬行动物（包括蛇及龟鳖）的肉及食用杂碎,2025,9,千克,?,?
88,鲜、冷、冻骆驼及其他骆驼科动物的肉及食用杂碎,2025,9,千克,?,?
89,其他鲜、冷、冻肉及食用杂碎,2025,9,千克,?,?
90,未炼制或用其他方法提取的不带瘦肉的肥猪肉、猪脂肪，鲜、冷、冻、干、熏、盐腌或盐渍的,2025,9,千克,?,?
91,"未炼制或用其他方法提取的不带瘦肉的家禽脂肪,鲜、冷、冻、干、熏、盐腌或盐渍的",2025,9,千克,?,?
92,干、熏、盐腌或盐渍带骨猪腿及肉块,2025,9,千克,?,?
93,干、熏、盐腌或盐渍猪腹肉（五花肉）,2025,9,千克,?,?
94,其他干、熏、盐腌或盐渍猪肉,2025,9,千克,?,?
95,干、熏、盐腌或盐渍牛肉,2025,9,千克,?,?
96,干、熏、盐腌或盐渍灵长目动物肉及食用杂碎,2025,9,千克,?,?
