员工ID,姓名,事业部,城市,站点,岗位,员工状态,申购情况,申购订单状态
1,员工1,事业部1,城市1,站点1,岗位1,正式,未申购,
2,员工2,事业部2,城市1,站点2,岗位2,正式,已申购,已支付
3,员工3,事业部2,城市1,站点2,岗位2,正式,已申购,已支付
4,员工4,事业部2,城市2,站点3,岗位2,正式,已申购,已支付
5,员工5,事业部3,城市2,站点4,岗位2,正式,已申购,已支付
6,员工6,事业部4,城市3,站点5,岗位2,正式,未申购,
7,员工7,事业部5,城市2,站点6,岗位2,正式,已申购,已支付
8,员工8,事业部6,城市4,站点7,岗位2,正式,已申购,已支付
9,员工9,事业部2,城市1,站点2,岗位1,正式,已申购,已支付
10,员工10,事业部2,城市3,站点8,岗位3,正式,已申购,已支付
11,员工11,事业部7,城市5,站点9,岗位2,正式,已申购,已支付
12,员工12,事业部3,城市2,站点4,岗位2,正式,已申购,已支付
13,员工13,事业部2,城市5,站点10,岗位2,正式,已申购,已支付
14,员工14,事业部4,城市6,站点11,岗位4,正式,已申购,已支付
15,员工15,事业部2,城市7,站点12,岗位4,正式,已申购,已支付
16,员工16,事业部2,城市8,站点13,岗位2,正式,已申购,已支付
17,员工17,事业部6,城市9,站点14,岗位2,正式,已申购,已支付
18,员工18,事业部7,城市5,站点15,岗位2,正式,已申购,已支付
19,员工19,事业部8,城市10,站点16,岗位2,正式,已申购,已支付
20,员工20,事业部6,城市9,站点14,岗位2,正式,已申购,已支付
21,员工21,事业部9,城市11,站点17,岗位2,正式,已申购,已支付
22,员工22,事业部7,城市5,站点9,岗位2,正式,已申购,已支付
23,员工23,事业部10,城市8,站点18,岗位2,正式,已申购,已支付
24,员工24,事业部4,城市3,站点5,岗位5,正式,已申购,已支付
25,员工25,事业部8,城市10,站点19,岗位2,正式,已申购,已支付
26,员工26,事业部8,城市10,站点16,岗位2,正式,已申购,已支付
27,员工27,事业部11,城市12,站点20,岗位2,正式,已申购,已支付
28,员工28,事业部12,城市13,站点21,岗位2,正式,已申购,已支付
29,员工29,事业部8,城市14,站点22,岗位5,正式,已申购,已支付
30,员工30,事业部13,城市15,站点23,岗位1,正式,已申购,已支付
31,员工31,事业部1,城市1,站点24,岗位2,正式,已申购,已支付
32,员工32,事业部2,城市15,站点25,岗位2,正式,已申购,已支付
33,员工33,事业部9,城市11,站点17,岗位1,正式,已申购,已支付
34,员工34,事业部2,城市7,站点12,岗位2,正式,已申购,已支付
35,员工35,事业部10,城市8,站点26,岗位4,正式,已申购,已支付
36,员工36,事业部12,城市13,站点21,岗位2,正式,已申购,已支付
37,员工37,事业部3,城市2,站点4,岗位2,正式,已申购,已支付
38,员工38,事业部1,城市1,站点24,岗位2,正式,已申购,已支付
39,员工39,事业部1,城市1,站点27,岗位2,正式,已申购,已支付
40,员工40,事业部6,城市9,站点14,岗位2,正式,已申购,已支付
41,员工41,事业部3,城市2,站点28,岗位2,正式,已申购,已支付
42,员工42,事业部9,城市7,站点29,岗位4,正式,已申购,已支付
43,员工43,事业部4,城市3,站点30,岗位2,正式,已申购,已支付
44,员工44,事业部4,城市3,站点30,岗位2,正式,已申购,已支付
45,员工45,事业部8,城市14,站点22,岗位2,正式,已申购,已支付
46,员工46,事业部3,城市2,站点4,岗位2,正式,已申购,已支付
47,员工47,事业部11,城市12,站点20,岗位5,正式,已申购,已支付
48,员工48,事业部8,城市14,站点22,岗位4,正式,已申购,已支付
