员工ID,姓名,事业部,城市,站点,岗位,员工状态,入职时间,7月申领情况,申购情况,申购订单状态
4663,usr_2,***收纳即刻事业部,深圳,深圳收纳****,员工,正式,2025/12/5 00:00,未申领,已申购,已支付
5869,usr_3,***收纳即刻事业部,深圳,深圳收纳****,员工,正式,2016/3/14 00:00,未申领,已申购,已支付
6708,usr_4,***收纳即刻事业部,上海,上海收纳****,员工,正式,2016/4/1 00:00,未申领,已申购,已支付
8508,usr_5,***上海北区事业部,上海,深度服****,员工,正式,2016/8/12 00:00,未申领,已申购,已支付
8818,usr_6,***北京事业部,北京,深度服****,员工,正式,2016/8/29 00:00,未申领,未申购,
11126,usr_7,***上海浦西事业部,上海,深度服****,员工,正式,2016/11/11 00:00,未申领,已申购,已支付
11562,usr_8,***华中事业部,长沙,深度服****,员工,正式,2016/11/25 00:00,未申领,已申购,已支付
200922,usr_9,***收纳即刻事业部,深圳,深圳收纳****,站长,正式,2017/2/20 00:00,未申领,已申购,已支付
201174,usr_10,***收纳即刻事业部,北京,即刻服务北****,其他职员,正式,2017/4/24 00:00,未申领,已申购,已支付
206381,usr_11,***苏北事业部,南京,深度服****,员工,正式,2017/5/27 00:00,未申领,已申购,已支付
206590,usr_12,***上海北区事业部,上海,深度服****,员工,正式,2017/6/4 00:00,未申领,已申购,已支付
207801,usr_13,***收纳即刻事业部,南京,南京收纳****,员工,正式,2017/6/30 00:00,未申领,已申购,已支付
208029,usr_14,***北京事业部,青岛,深度服****,带单师父,正式,2017/6/22 00:00,未申领,已申购,已支付
209738,usr_15,***收纳即刻事业部,杭州,杭州收纳****,带单师父,正式,2019/1/1 00:00,未申领,已申购,已支付
210649,usr_16,***收纳即刻事业部,广州,广州收纳****,员工,正式,2017/8/16 00:00,未申领,已申购,已支付
210808,usr_17,***华中事业部,武汉,武汉深度服务****,员工,正式,2017/8/22 00:00,未申领,已申购,已支付
211989,usr_18,***苏北事业部,南京,家师傅南京****,员工,正式,2025/4/7 00:00,未申领,已申购,已支付
211995,usr_19,***苏南事业部,苏州,深度服****,员工,正式,2017/9/27 00:00,未申领,已申购,已支付
212810,usr_20,***华中事业部,武汉,武汉深度服务****,员工,正式,2017/10/26 00:00,未申领,已申购,已支付
212822,usr_21,***浙江事业部,宁波,深度服****,员工,正式,2017/10/25 00:00,未申领,已申购,已支付
213019,usr_22,***苏北事业部,南京,深度服****,员工,正式,2017/10/31 00:00,未申领,已申购,已支付
213037,usr_23,***广佛事业部,广州,家师傅广州****,员工,正式,2017/10/28 00:00,未申领,已申购,已支付
213062,usr_24,***北京事业部,北京,深度服****,储备培训师,正式,2017/10/30 00:00,未申领,已申购,已支付
213719,usr_25,***苏南事业部,苏州,家师傅苏州****,员工,正式,2017/11/13 00:00,未申领,已申购,已支付
214561,usr_26,***苏南事业部,苏州,深度服****,员工,正式,2017/11/17 00:00,未申领,已申购,已支付
214605,usr_27,***川渝事业部,重庆,重庆家师****,员工,正式,2017/11/18 00:00,未申领,已申购,已支付
214610,usr_28,***福州事业部,福州,深度服****,员工,正式,2017/11/22 00:00,未申领,已申购,已支付
214814,usr_29,***苏南事业部,无锡,深度服****,储备培训师,正式,2017/11/26 00:00,未申领,已申购,已支付
214851,usr_30,***厦门事业部,厦门,厦门深度服****,站长,正式,2025/6/13 00:00,未申领,已申购,已支付
214859,usr_31,***深圳事业部,深圳,家师傅深圳深度服****,员工,正式,2017/11/29 00:00,未申领,已申购,已支付
214876,usr_32,***收纳即刻事业部,厦门,厦门收纳****,员工,正式,2025/11/29 00:00,未申领,已申购,已支付
215149,usr_33,***浙江事业部,宁波,深度服****,站长,正式,2017/12/12 00:00,未申领,已申购,已支付
215175,usr_34,***收纳即刻事业部,杭州,杭州收纳****,员工,正式,2017/12/31 00:00,未申领,已申购,已支付
215201,usr_35,***广佛事业部,广州,家师傅深度服****,带单师父,正式,2017/12/17 00:00,未申领,已申购,已支付
215218,usr_36,***福州事业部,福州,深度服****,员工,正式,2017/12/17 00:00,未申领,已申购,已支付
215306,usr_37,***上海北区事业部,上海,深度服****,员工,正式,2017/12/21 00:00,未申领,已申购,已支付
215497,usr_38,***深圳事业部,深圳,家师傅深圳深度服****,员工,正式,2018/1/3 00:00,未申领,已申购,已支付
215726,usr_39,***深圳事业部,深圳,家师傅深圳****,员工,正式,2025/10/31 00:00,未申领,已申购,已支付
215731,usr_40,***华中事业部,武汉,武汉深度服务****,员工,正式,2018/1/28 00:00,未申领,已申购,已支付
215811,usr_41,***上海北区事业部,上海,家师傅上海浦西****,员工,正式,2025/8/7 00:00,未申领,已申购,已支付
216159,usr_42,***浙江事业部,杭州,家师傅杭州深度服****,带单师父,正式,2018/3/4 00:00,未申领,已申购,已支付
216192,usr_43,***北京事业部,北京,家师傅北京****,员工,正式,2021/11/25 00:00,未申领,已申购,已支付
216288,usr_44,***北京事业部,北京,家师傅北京****,员工,正式,2018/3/4 00:00,未申领,已申购,已支付
