DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
2012/1/1,30.6166666,116.9666666,63.2,AQ,41.4,8,30.7,8,1030.3,8,27.7,4,2.9,8,6.1,8,7.8,999.9,47.3, ,34.2, ,0,I,999.9,100000
2012/1/2,30.6166666,116.9666666,63.2,AQ,41,8,28.4,8,1027.8,8,24.9,4,3.7,8,3.9,8,5.8,999.9,45.9, ,35.4, ,0,I,999.9,0
2012/1/3,30.6166666,116.9666666,63.2,AQ,35.7,8,19.8,8,1034.3,8,31,4,3.7,8,4.1,8,5.8,999.9,39.4, ,30.7,*,0,G,999.9,10000
2012/1/4,30.6166666,116.9666666,63.2,AQ,35.7,8,8.6,8,1035.3,8,32.8,4,6.5,8,3.9,8,5.8,999.9,40.3, ,30.4, ,0,G,999.9,0
2012/1/5,30.6166666,116.9666666,63.2,AQ,38,8,10.9,8,1030,8,27.4,4,7.4,8,2.9,8,5.8,999.9,41.5, ,32.4, ,0,I,999.9,0
2012/1/6,30.6166666,116.9666666,63.2,AQ,39.9,8,15.2,8,1033.2,8,30.1,4,6.4,8,5.6,8,7.8,999.9,46.8, ,34.5,*,0,I,999.9,0
2012/1/7,30.6166666,116.9666666,63.2,AQ,40.5,8,26,8,1033.5,8,30.8,4,5.9,8,4.1,8,7.8,999.9,44.1, ,33.4, ,0,G,999.9,10000
2012/1/8,30.6166666,116.9666666,63.2,AQ,41,8,33.6,8,1032.2,8,29.4,4,3.3,8,2.9,8,3.9,999.9,43.3, ,38.7,*,0,G,999.9,0
2012/1/9,30.6166666,116.9666666,63.2,AQ,40.8,8,34.4,8,1031.1,8,28.4,4,3.3,8,3.9,8,5.8,999.9,43.5, ,36.5,*,0,I,999.9,0
2012/1/10,30.6166666,116.9666666,63.2,AQ,43.8,8,31,8,1031.4,8,28.2,4,4.1,8,4.6,8,5.8,999.9,48.7, ,35.6, ,0,I,999.9,0
2012/1/11,30.6166666,116.9666666,63.2,AQ,40.2,8,24.6,8,1034.4,8,31.9,4,4,8,6.1,8,7.8,999.9,43.3, ,38.3,*,0,I,999.9,0
2012/1/12,30.6166666,116.9666666,63.2,AQ,40.4,8,28.9,8,1027.9,8,25.5,4,3.8,8,2.7,8,3.9,999.9,41.5, ,36.7, ,0,I,999.9,0
2012/1/13,30.6166666,116.9666666,63.2,AQ,40.2,8,33.8,8,1025.7,8,23.4,4,2.7,8,4.4,8,5.8,999.9,42.6, ,38.7,*,0.53,G,999.9,10000
2012/1/14,30.6166666,116.9666666,63.2,AQ,38.4,8,35.8,8,1022.4,8,19.8,4,2.7,8,5.1,8,5.8,999.9,39.4, ,37.8,*,0.34,G,999.9,10000
2012/1/15,30.6166666,116.9666666,63.2,AQ,38,8,35.4,8,1019.4,8,16.8,4,4.1,8,5.3,8,7.8,999.9,40.1, ,35.8,*,0.54,G,999.9,10000
2012/1/16,30.6166666,116.9666666,63.2,AQ,40.3,8,37,8,1020.2,8,17.5,4,3.6,8,2.2,8,3.9,999.9,42.1, ,35.8, ,0.11,G,999.9,10000
2012/1/17,30.6166666,116.9666666,63.2,AQ,42.1,8,39,8,1019.9,8,17.4,4,2.1,8,2.4,8,3.9,999.9,44.2, ,39.9, ,0.02,G,999.9,10000
2012/1/18,30.6166666,116.9666666,63.2,AQ,41.6,8,38.6,8,1020.6,8,17.6,4,3.5,8,4.4,8,5.8,999.9,43.3, ,40.8, ,0.17,G,999.9,10000
