DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
2011/1/1,33.7833333,115.7333333,40.3,bx,28.7,8,-0.5,8,1033.9,8,28.6,4,13.6,8,4.4,8,5.8,999.9,36.1, ,21, ,0,I,999.9,0
2011/1/2,33.7833333,115.7333333,40.3,bx,28,8,10.2,8,1033.2,8,28.1,4,9.1,8,2.4,8,5.8,999.9,32.7, ,22.3,*,0,I,999.9,0
2011/1/3,33.7833333,115.7333333,40.3,bx,26.9,8,4.1,8,1031.8,8,26.5,4,10.9,8,2.9,8,5.8,999.9,33.6, ,20.8, ,0,I,999.9,0
2011/1/4,33.7833333,115.7333333,40.3,bx,32.4,8,12.4,8,1027.5,8,22.5,4,8.8,8,2.2,8,3.9,999.9,37.6, ,20.5, ,0,I,999.9,0
2011/1/5,33.7833333,115.7333333,40.3,bx,30.3,8,12.3,8,1032.6,8,26.8,4,8.9,8,4.6,8,5.8,999.9,37.4, ,23.4,*,0,I,999.9,0
2011/1/6,33.7833333,115.7333333,40.3,bx,26.1,8,0.1,8,1038,8,32.9,4,10.9,8,3.2,8,5.8,999.9,35.2, ,20.8, ,0,I,999.9,0
2011/1/7,33.7833333,115.7333333,40.3,bx,29,8,1.2,8,1030.9,8,26.4,4,11.7,8,2.2,8,5.8,999.9,37.4, ,19, ,0,I,999.9,0
2011/1/8,33.7833333,115.7333333,40.3,bx,32.3,8,5.2,8,1029.3,8,23.6,4,12.4,8,4.6,8,7.8,999.9,42.8, ,24.1, ,0,I,999.9,0
2011/1/9,33.7833333,115.7333333,40.3,bx,26.6,8,-3.7,8,1036.8,8,31.6,4,14.4,8,4.4,8,7.8,999.9,34.5, ,19.9,*,0,I,999.9,0
2011/1/10,33.7833333,115.7333333,40.3,bx,27.9,8,-5.3,8,1028.9,8,24.4,4,12.4,8,2.9,8,3.9,999.9,35.4, ,17.6, ,0,I,999.9,0
2011/1/11,33.7833333,115.7333333,40.3,bx,30.6,8,0.6,8,1026,8,20.6,4,13.2,8,3.9,8,7.8,999.9,39.7, ,24.3, ,0,I,999.9,0
2011/1/12,33.7833333,115.7333333,40.3,bx,33.8,8,-0.2,8,1025.6,8,20.9,4,12.4,8,4.1,8,5.8,999.9,41.9, ,24.4, ,0,I,999.9,0
2011/1/13,33.7833333,115.7333333,40.3,bx,34.4,8,7.8,8,1024.5,8,19.3,4,9.8,8,2.4,8,3.9,999.9,46.6, ,26.6,*,0,I,999.9,0
2011/1/14,33.7833333,115.7333333,40.3,bx,34.8,8,9.8,8,1031.7,8,26.1,4,9.1,8,4.6,8,7.8,999.9,46.4, ,25.7,*,0,I,999.9,0
2011/1/15,33.7833333,115.7333333,40.3,bx,25.7,8,-6,8,1038.8,8,33.8,4,13.2,8,3.9,8,7.8,999.9,34.3, ,17.8,*,0,I,999.9,0
2011/1/16,33.7833333,115.7333333,40.3,bx,25.5,8,-9.9,8,1036.8,8,31.6,4,14,8,3.6,8,5.8,999.9,34, ,15.6, ,0,I,999.9,0
2011/1/17,33.7833333,115.7333333,40.3,bx,28.7,8,-6.6,8,1034.2,8,29.3,4,12.4,8,3.4,8,5.8,999.9,33.4, ,21, ,0,I,999.9,0
2011/1/18,33.7833333,115.7333333,40.3,bx,29,8,13.3,8,1032.7,8,27.6,4,9.3,8,2.7,8,3.9,999.9,35.6, ,21.7,*,0,I,999.9,0
2011/1/19,33.7833333,115.7333333,40.3,bx,30.3,8,10.5,8,1031.8,8,26.7,4,8.9,8,1.9,8,1.9,999.9,36.9, ,20.3, ,0,I,999.9,0
2011/1/20,33.7833333,115.7333333,40.3,bx,32,8,18,8,1030.1,8,24.9,4,7.7,8,2.2,8,3.9,999.9,37.2, ,27,*,0,G,999.9,0
2011/1/21,33.7833333,115.7333333,40.3,bx,32.2,8,21.5,8,1029.4,8,24.1,4,5.8,8,3.4,8,3.9,999.9,39.9, ,25.7, ,0,G,999.9,0
2011/1/22,33.7833333,115.7333333,40.3,bx,34.4,8,22.3,8,1028.4,8,23.3,4,7.5,8,3.2,8,5.8,999.9,42.1, ,26.1,*,0,I,999.9,0
2011/1/23,33.7833333,115.7333333,40.3,bx,30.8,8,1,8,1033.6,8,28,4,8.6,8,4.1,8,5.8,999.9,40.1, ,23.5,*,0,I,999.9,0
2011/1/24,33.7833333,115.7333333,40.3,bx,31.6,8,-2.7,8,1033.1,8,28.1,4,12.4,8,3.6,8,5.8,999.9,40.5, ,18.5, ,0,I,999.9,0
2011/1/25,33.7833333,115.7333333,40.3,bx,34.2,8,6.3,8,1033.8,8,28.2,4,12,8,3.9,8,5.8,999.9,44.4, ,25.7, ,0,G,999.9,0
2011/1/26,33.7833333,115.7333333,40.3,bx,33.5,8,4,8,1037.6,8,32.2,4,8.2,8,3.4,8,5.8,999.9,41, ,25.5, ,0,I,999.9,0
2011/1/27,33.7833333,115.7333333,40.3,bx,33.2,8,14.6,8,1038.5,8,33.2,4,12.8,8,3.6,8,5.8,999.9,39.7, ,27.5, ,0,I,999.9,0
2011/1/28,33.7833333,115.7333333,40.3,bx,30.8,8,13.5,8,1037,8,32.1,4,8.8,8,2.7,8,5.8,999.9,39.7, ,23.9,*,0,I,999.9,0
2011/1/29,33.7833333,115.7333333,40.3,bx,27,8,6.2,8,1038,8,32.8,4,9.2,8,2.4,8,5.8,999.9,36.3, ,20.8,*,0,I,999.9,0
2011/1/30,33.7833333,115.7333333,40.3,bx,30.1,8,1.4,8,1035.8,8,31.1,4,11,8,2.7,8,3.9,999.9,42.4, ,19.6, ,0,I,999.9,0
2011/1/31,33.7833333,115.7333333,40.3,bx,37.9,8,-1.6,8,1029.7,8,25.2,4,12,8,3.9,8,5.8,999.9,47.8, ,21.9, ,0,I,999.9,0
2011/2/1,33.7833333,115.7333333,40.3,bx,35.4,8,3.1,8,1024.3,8,19.3,4,13.2,8,3.4,8,5.8,999.9,49.5, ,25.7,*,0,I,999.9,0
2011/2/2,33.7833333,115.7333333,40.3,bx,44.6,8,15.4,8,1021.6,8,16.7,4,10.8,8,3.9,8,5.8,999.9,55.9, ,25.5, ,0,I,999.9,0
2011/2/3,33.7833333,115.7333333,40.3,bx,39.7,8,20.1,8,1020.2,8,15.5,4,7.7,8,1.7,8,3.9,999.9,55.4, ,29.3,*,0,I,999.9,0
2011/2/4,33.7833333,115.7333333,40.3,bx,40.2,8,17.3,8,1021.4,8,16.2,4,7.5,8,1.9,8,1.9,999.9,55.4, ,28.2, ,0,I,999.9,0
2011/2/5,33.7833333,115.7333333,40.3,bx,44.1,8,24.4,8,1017.2,8,12.5,4,8.2,8,2.9,8,5.8,999.9,57.9, ,29.3, ,0,I,999.9,0
2011/2/6,33.7833333,115.7333333,40.3,bx,47.3,8,19.9,8,1018.7,8,13.8,4,9.5,8,3.6,8,7.8,999.9,60.8, ,33.8, ,0,I,999.9,0
2011/2/7,33.7833333,115.7333333,40.3,bx,38.6,8,30.2,8,1010.9,8,6.1,4,4.7,8,3.2,8,5.8,999.9,44.1, ,34.3,*,0.01,G,999.9,10000
2011/2/8,33.7833333,115.7333333,40.3,bx,42.5,8,27.6,8,1015.2,8,9.5,4,3.8,8,3.9,8,5.8,999.9,50.7, ,32.2, ,0,I,999.9,0
2011/2/9,33.7833333,115.7333333,40.3,bx,33.5,8,25.3,8,1024,8,18.9,4,7.4,8,4.1,8,7.8,999.9,41.4, ,29.8,*,0.04,G,999.9,11000
2011/2/10,33.7833333,115.7333333,40.3,bx,32.5,8,25.6,8,1027.9,8,22.6,4,8.2,8,2.7,8,3.9,999.9,34.5, ,29.5, ,0.01,G,999.9,1000
2011/2/11,33.7833333,115.7333333,40.3,bx,31.6,8,25,8,1031,8,25.7,4,8.1,8,1.9,8,3.9,999.9,36.5, ,27.5,*,0,G,999.9,0
2011/2/12,33.7833333,115.7333333,40.3,bx,31.9,8,13.1,8,1029.7,8,25.1,4,12,8,3.6,8,3.9,999.9,38.1, ,25.9, ,0,I,999.9,0
2011/2/13,33.7833333,115.7333333,40.3,bx,29.5,8,21.6,8,1029.4,8,23.8,4,8.2,8,5.1,8,9.7,999.9,36, ,21.6,*,0,G,999.9,1000
2011/2/14,33.7833333,115.7333333,40.3,bx,27.6,8,13.3,8,1033.1,8,28.2,4,10.3,8,3.4,8,5.8,999.9,36.9, ,19.9, ,0,G,999.9,0
2011/2/15,33.7833333,115.7333333,40.3,bx,32.9,8,19.2,8,1028.1,8,23.4,4,9.6,8,3.9,8,7.8,999.9,37.2, ,21.2, ,0,I,999.9,0
2011/2/16,33.7833333,115.7333333,40.3,bx,38.2,8,24.5,8,1022.1,8,17.2,4,10.6,8,3.6,8,3.9,999.9,45.1, ,32.5, ,0,I,999.9,0
2011/2/17,33.7833333,115.7333333,40.3,bx,41.3,8,26.7,8,1024.6,8,19.4,4,8.3,8,1.7,8,3.9,999.9,50.2, ,34.2, ,0,I,999.9,0
2011/2/18,33.7833333,115.7333333,40.3,bx,40.5,8,16.3,8,1026.7,8,21.8,4,9.2,8,2.9,8,5.8,999.9,48.7, ,32.9,*,0,I,999.9,0
2011/2/19,33.7833333,115.7333333,40.3,bx,39.3,8,13.8,8,1026.1,8,21.2,4,12,8,2.2,8,3.9,999.9,48.6, ,30,*,0,I,999.9,0
2011/2/20,33.7833333,115.7333333,40.3,bx,42.5,8,17.9,8,1026.3,8,21.5,4,12.4,8,3.2,8,5.8,999.9,53.6, ,29.7, ,0,I,999.9,0
2011/2/21,33.7833333,115.7333333,40.3,bx,46,8,17.3,8,1024,8,19.4,4,13.6,8,4.6,8,5.8,999.9,55.8, ,31.1, ,0,I,999.9,0
2011/2/22,33.7833333,115.7333333,40.3,bx,47,8,24.8,8,1021,8,16.4,4,9.6,8,2.9,8,3.9,999.9,55.8, ,37.9, ,0,I,999.9,0
2011/2/23,33.7833333,115.7333333,40.3,bx,53.7,8,30.5,8,1016.4,8,11.8,4,11.1,8,4.4,8,5.8,999.9,64.6, ,40.3, ,0,I,999.9,0
2011/2/24,33.7833333,115.7333333,40.3,bx,56.4,8,36.8,8,1017.9,8,12.7,4,9.2,8,3.2,8,5.8,999.9,68.4, ,46.4,*,0,I,999.9,0
2011/2/25,33.7833333,115.7333333,40.3,bx,46.1,8,29,8,1024.1,8,19.2,4,7.5,8,7,8,11.7,999.9,53.8, ,35.6,*,0.29,G,999.9,10000
2011/2/26,33.7833333,115.7333333,40.3,bx,35.7,8,33,8,1020.9,8,16,4,5.9,8,5.1,8,7.8,999.9,39.6, ,34.3,*,0.44,G,999.9,10000
2011/2/27,33.7833333,115.7333333,40.3,bx,32.7,8,28,8,1023.4,8,18,4,7.2,8,5.8,8,7.8,999.9,35.1, ,30.7,*,0.21,G,999.9,10000
