STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
58102099999,2012/1/1,33.7833333,115.7333333,40.3,bx,31.1,8,28.9,8,1033.2,8,28.1,4,2.4,8,3.4,8,5.8,999.9,35.2, ,28.4,*,0,I,999.9,100000
58102099999,2012/1/2,33.7833333,115.7333333,40.3,bx,31.5,8,28.4,8,1030.5,8,25.2,4,3.1,8,3.6,8,5.8,999.9,35.4, ,28, ,0,I,999.9,0
58102099999,2012/1/3,33.7833333,115.7333333,40.3,bx,28.9,8,15.5,8,1035.7,8,30.3,4,8.2,8,2.9,8,5.8,999.9,37.8, ,21.4,*,0,I,999.9,0
58102099999,2012/1/4,33.7833333,115.7333333,40.3,bx,28.9,8,6.4,8,1036.2,8,31.3,4,13,8,2.4,8,3.9,999.9,38.5, ,19.6, ,0,I,999.9,0
58102099999,2012/1/5,33.7833333,115.7333333,40.3,bx,31.8,8,8.6,8,1031,8,25.9,4,12.8,8,4.4,8,5.8,999.9,40.5, ,23.9, ,0,I,999.9,0
58102099999,2012/1/6,33.7833333,115.7333333,40.3,bx,32.4,8,10.8,8,1036.5,8,30.9,4,10.9,8,2.9,8,5.8,999.9,42.8, ,26.2,*,0,I,999.9,0
58102099999,2012/1/7,33.7833333,115.7333333,40.3,bx,35.6,8,20.1,8,1036.3,8,31.4,4,10.1,8,2.7,8,3.9,999.9,42.4, ,25.9, ,0,I,999.9,0
58102099999,2012/1/8,33.7833333,115.7333333,40.3,bx,35.5,8,26.5,8,1033.4,8,28.4,4,8.6,8,2.4,8,3.9,999.9,44.6, ,29.3,*,0,I,999.9,0
58102099999,2012/1/9,33.7833333,115.7333333,40.3,bx,29.7,8,28.1,8,1032.7,8,27.5,4,2.1,8,1.9,8,3.9,999.9,36.7, ,25.7,*,0,I,999.9,100000
58102099999,2012/1/10,33.7833333,115.7333333,40.3,bx,29.8,8,28.6,8,1034.8,8,29.2,4,0.6,8,3.6,8,5.8,999.9,31.6, ,25.3, ,0,I,999.9,100000
58102099999,2012/1/11,33.7833333,115.7333333,40.3,bx,32.7,8,18.1,8,1036.9,8,32.2,4,6.1,8,3.4,8,5.8,999.9,40.8, ,27.1, ,0,I,999.9,0
58102099999,2012/1/12,33.7833333,115.7333333,40.3,bx,32.9,8,24.5,8,1028.5,8,23.4,4,7.7,8,2.7,8,3.9,999.9,42.6, ,25.7,*,0,I,999.9,0
58102099999,2012/1/13,33.7833333,115.7333333,40.3,bx,37,8,29,8,1027.4,8,22.5,4,6.1,8,1.9,8,3.9,999.9,44.1, ,24.8, ,0,I,999.9,0
58102099999,2012/1/14,33.7833333,115.7333333,40.3,bx,39.4,8,28.1,8,1025.3,8,20.4,4,7.3,8,2.2,8,3.9,999.9,43.9, ,35.4, ,0,G,999.9,10000
58102099999,2012/1/15,33.7833333,115.7333333,40.3,bx,37.5,8,28.6,8,1022.3,8,17.6,4,8.6,8,2.4,8,3.9,999.9,42.3, ,33.3,*,0,G,999.9,0
58102099999,2012/1/16,33.7833333,115.7333333,40.3,bx,40.5,8,29.3,8,1021.2,8,16.2,4,9.3,8,3.2,8,5.8,999.9,45.3, ,32.2, ,0,G,999.9,10000
58102099999,2012/1/17,33.7833333,115.7333333,40.3,bx,40.1,8,33,8,1022,8,16.9,4,9.1,8,3.2,8,5.8,999.9,45.1, ,36,*,0.07,G,999.9,10000
58102099999,2012/1/18,33.7833333,115.7333333,40.3,bx,38.1,8,35,8,1024.5,8,19.2,4,5.5,8,2.9,8,3.9,999.9,40.5, ,36, ,0.26,G,999.9,10000
58102099999,2012/1/19,33.7833333,115.7333333,40.3,bx,38.8,8,33.4,8,1027.4,8,22.1,4,3.6,8,2.4,8,3.9,999.9,45.1, ,35.1,*,0,G,999.9,110000
58102099999,2012/1/20,33.7833333,115.7333333,40.3,bx,33.2,8,27.5,8,1029.6,8,24.4,4,4.2,8,5.8,8,7.8,999.9,37.9, ,27.1,*,0,G,999.9,0
58102099999,2012/1/21,33.7833333,115.7333333,40.3,bx,27,8,16.4,8,1034.2,8,28.7,4,9.8,8,6.1,8,9.7,999.9,30.6, ,22.6,*,0,G,999.9,1000
58102099999,2012/1/22,33.7833333,115.7333333,40.3,bx,24.4,8,10.4,8,1035.4,8,30.2,4,12,8,1.9,8,5.8,999.9,31.1, ,19.9,*,0,G,999.9,0
58102099999,2012/1/23,33.7833333,115.7333333,40.3,bx,27.4,8,12,8,1031.1,8,26,4,7.8,8,2.4,8,3.9,999.9,32.9, ,18.7, ,0,I,999.9,0
58102099999,2012/1/24,33.7833333,115.7333333,40.3,bx,27.7,8,15.3,8,1030.7,8,25.6,4,6.8,8,2.2,8,3.9,999.9,35.8, ,22.5,*,0,I,999.9,0
58102099999,2012/1/25,33.7833333,115.7333333,40.3,bx,32.2,8,9.2,8,1027.3,8,22.6,4,11.8,8,4.6,8,7.8,999.9,40.8, ,21.6, ,0,I,999.9,0
58102099999,2012/1/26,33.7833333,115.7333333,40.3,bx,34.8,8,17.9,8,1023.4,8,18.7,4,12.8,8,2.7,8,3.9,999.9,46.4, ,27.7, ,0,I,999.9,0
58102099999,2012/1/27,33.7833333,115.7333333,40.3,bx,39.2,8,20.7,8,1024.5,8,19.4,4,11.3,8,2.4,8,3.9,999.9,49.3, ,24.8, ,0,I,999.9,0
58102099999,2012/1/28,33.7833333,115.7333333,40.3,bx,37.5,8,32,8,1028.2,8,22.7,4,5.5,8,2.4,8,3.9,999.9,40.8, ,32.5, ,0,G,999.9,10000
58102099999,2012/1/29,33.7833333,115.7333333,40.3,bx,33,8,28.9,8,1031.9,8,26.7,4,4.5,8,4.6,8,7.8,999.9,37.6, ,29.8,*,0.02,G,999.9,11000
58102099999,2012/1/30,33.7833333,115.7333333,40.3,bx,34.9,8,28.5,8,1029.7,8,25.2,4,6.4,8,3.2,8,5.8,999.9,42.4, ,28.8, ,0,G,999.9,0
58102099999,2012/1/31,33.7833333,115.7333333,40.3,bx,39.8,8,31.4,8,1023.3,8,18,4,8.8,8,5.8,8,9.7,999.9,50.4, ,29.5, ,0,I,999.9,0
58102099999,2012/2/1,33.7833333,115.7333333,40.3,bx,31.5,8,10.2,8,1035.2,8,29.4,4,11.3,8,3.9,8,7.8,999.9,36.3, ,23.7,*,0,I,999.9,0
58102099999,2012/2/2,33.7833333,115.7333333,40.3,bx,29.5,8,5.5,8,1036.4,8,31.9,4,12.8,8,3.4,8,5.8,999.9,35.6, ,23, ,0,I,999.9,0
58102099999,2012/2/3,33.7833333,115.7333333,40.3,bx,34.1,8,15.6,8,1026.4,8,21.7,4,11.5,8,3.9,8,5.8,999.9,44.1, ,25.2, ,0,I,999.9,0
58102099999,2012/2/4,33.7833333,115.7333333,40.3,bx,35.8,8,21.5,8,1024.9,8,20,4,10.3,8,2.4,8,5.8,999.9,43.2, ,28.6,*,0,I,999.9,0
58102099999,2012/2/5,33.7833333,115.7333333,40.3,bx,42.1,8,27.8,8,1019.6,8,14.9,4,9.9,8,3.2,8,5.8,999.9,48.4, ,28.2, ,0,G,999.9,10000
