DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
2011/1/1,32.8666666,115.7333333,33,fy,30.3,8,-0.4,8,1033.6,8,28.9,4,10.3,8,5.6,8,9.7,999.9,37.2, ,16.7, ,0,I,999.9,0
2011/1/2,32.8666666,115.7333333,33,fy,29.1,8,11.1,8,1032.9,8,28.4,4,10,8,4.9,8,7.8,999.9,33.1, ,20.7,*,0,I,999.9,0
2011/1/3,32.8666666,115.7333333,33,fy,27.4,8,10.7,8,1032.1,8,27.6,4,7.9,8,3.9,8,7.8,999.9,36.1, ,18.7, ,0,I,999.9,0
2011/1/4,32.8666666,115.7333333,33,fy,33.7,8,13.4,8,1027.9,8,23.8,4,8.5,8,2.4,8,3.9,999.9,39.7, ,17.8, ,0,I,999.9,0
2011/1/5,32.8666666,115.7333333,33,fy,32.3,8,16.6,8,1032.1,8,27,4,5.7,8,5.3,8,7.8,999.9,41.2, ,22.5,*,0,I,999.9,0
2011/1/6,32.8666666,115.7333333,33,fy,25.2,8,5.5,8,1038.2,8,33.7,4,8.3,8,4.4,8,9.7,999.9,35.2, ,16.9,*,0,I,999.9,0
2011/1/7,32.8666666,115.7333333,33,fy,26.5,8,5.9,8,1031.3,8,27.4,4,9.5,8,2.2,8,3.9,999.9,39.7, ,14.9, ,0,I,999.9,0
2011/1/8,32.8666666,115.7333333,33,fy,32.2,8,9.2,8,1029.3,8,24.4,4,9.5,8,5.6,8,7.8,999.9,43.9, ,16.9, ,0,I,999.9,0
2011/1/9,32.8666666,115.7333333,33,fy,26.6,8,1.2,8,1036.6,8,32.1,4,11.6,8,6.6,8,15.5,999.9,37.4, ,14.5,*,0,I,999.9,0
2011/1/10,32.8666666,115.7333333,33,fy,26.5,8,-3.5,8,1029.8,8,26,4,11.2,8,3.6,8,5.8,999.9,37.4, ,12.9, ,0,I,999.9,0
2011/1/11,32.8666666,115.7333333,33,fy,27.9,8,5,8,1026.5,8,22,4,10.5,8,7.3,8,17.5,999.9,40.5, ,15.3,*,0,I,999.9,0
2011/1/12,32.8666666,115.7333333,33,fy,33,8,4,8,1026,8,21.9,4,9.1,8,4.6,8,7.8,999.9,43, ,14.5, ,0,I,999.9,0
2011/1/13,32.8666666,115.7333333,33,fy,33.9,8,10.8,8,1024.6,8,20.1,4,9.2,8,3.9,8,5.8,999.9,46.8, ,26.2,*,0,I,999.9,0
2011/1/14,32.8666666,115.7333333,33,fy,36.5,8,9.6,8,1031,8,25.7,4,7.5,8,5.6,8,7.8,999.9,46.8, ,25.2, ,0,I,999.9,0
2011/1/15,32.8666666,115.7333333,33,fy,26.9,8,-0.8,8,1038.5,8,34.2,4,9.3,8,6.3,8,13.6,999.9,37, ,16.2,*,0,I,999.9,0
2011/1/16,32.8666666,115.7333333,33,fy,26.5,8,-5.4,8,1036.5,8,32,4,12.6,8,3.9,8,5.8,999.9,34.9, ,10.8, ,0,I,999.9,0
2011/1/17,32.8666666,115.7333333,33,fy,31.2,8,3.4,8,1034.1,8,29.9,4,9.6,8,3.6,8,5.8,999.9,36.1, ,22.8, ,0,I,999.9,0
2011/1/18,32.8666666,115.7333333,33,fy,28.2,8,21.9,8,1032.8,8,28.3,4,5.4,8,3.6,8,5.8,999.9,31.5, ,23.2,*,0.02,G,999.9,1000
2011/1/19,32.8666666,115.7333333,33,fy,30.2,8,20.5,8,1031.6,8,27.1,4,6,8,3.4,8,7.8,999.9,35.1, ,19.9, ,0,I,999.9,0
2011/1/20,32.8666666,115.7333333,33,fy,31.1,8,22.7,8,1030.6,8,26.1,4,5.5,8,2.4,8,3.9,999.9,36.7, ,26.8,*,0,I,999.9,100000
2011/1/21,32.8666666,115.7333333,33,fy,30.6,8,23.9,8,1029.9,8,25.4,4,4.7,8,2.4,8,3.9,999.9,39, ,23.5,*,0,I,999.9,100000
2011/1/22,32.8666666,115.7333333,33,fy,30.7,8,24.5,8,1028.9,8,24.6,4,4.9,8,2.9,8,5.8,999.9,38.1, ,21.2, ,0,I,999.9,100000
