号商,商品线索数,报价线索数,线索报价率,未报价线索数,未报价率,同意报价数,同意报价率,付费订单数,交易中订单,成交订单数,成交率,成交订单金额,客单价,毛收入,收益率,被付费线索数,付费率,回收成功率
1,3250,350,10.77%,2900,89.23%,17,4.86%,56,0,18,32.14%,14866.36,825.91,2306.4,15.51%,0,0%,0.55%
2,3214,232,7.22%,2982,92.78%,5,2.16%,39,1,4,10.26%,371.19,92.8,95.18,25.64%,0,0%,0.12%
3,3062,325,10.61%,2737,89.39%,13,4%,33,0,13,39.39%,3098.94,238.38,592.96,19.13%,0,0%,0.42%
4,2986,331,11.09%,2655,88.91%,10,3.02%,26,0,10,38.46%,1024.96,102.5,255.96,24.97%,0,0%,0.33%
5,2504,135,5.39%,2369,94.61%,4,2.96%,16,0,3,18.75%,493.53,164.51,91.54,18.55%,0,0%,0.12%
6,3677,265,7.21%,3412,92.79%,3,1.13%,14,0,3,21.43%,1346.52,448.84,245.52,18.23%,0,0%,0.08%
7,3206,89,2.78%,3117,97.22%,3,3.37%,9,0,3,33.33%,1255.22,418.41,228.21,18.18%,0,0%,0.09%
8,3281,89,2.71%,3192,97.29%,2,2.25%,8,1,1,12.50%,488.89,488.89,88.88,18.18%,0,0%,0.03%
9,3265,123,3.77%,3142,96.23%,2,1.63%,8,0,1,12.50%,113.3,113.3,25.3,22.33%,0,0%,0.03%
10,3282,107,3.26%,3175,96.74%,4,3.74%,8,0,4,50%,3263.32,815.83,493.34,15.12%,0,0%,0.12%
11,3238,50,1.54%,3188,98.46%,3,6%,8,0,3,37.50%,1052.33,350.78,197.34,18.75%,0,0%,0.09%
12,3062,257,8.39%,2805,91.61%,1,0.39%,7,0,1,14.29%,191.89,191.89,34.88,18.18%,0,0%,0.03%
13,2443,238,9.74%,2205,90.26%,1,0.42%,6,0,1,16.67%,495,495,90,18.18%,0,0%,0.04%
14,3620,169,4.67%,3451,95.33%,2,1.18%,5,0,2,40%,321.93,160.97,60.94,18.93%,0,0%,0.06%
15,3206,80,2.50%,3126,97.50%,2,2.50%,4,0,2,50%,2891.78,1445.89,442.48,15.30%,0,0%,0.06%
16,2475,123,4.97%,2352,95.03%,0,0%,4,0,0,0%,0,0,0,0,0,0%,0%
17,3376,155,4.59%,3221,95.41%,2,1.29%,4,0,2,50%,413.72,206.86,78.72,19.03%,0,0%,0.06%
18,3458,45,1.30%,3413,98.70%,1,2.22%,4,0,1,25%,126.5,126.5,26.5,20.95%,0,0%,0.03%
