号商,商品线索数,报价线索数,线索报价率,未报价线索数,未报价率,同意报价数,同意报价率,付费订单数,交易中订单,成交订单数,成交率,成交订单金额,客单价,毛收入,收益率,被付费线索数,付费率,回收成功率
1,3103,254,8.19%,2849,91.81%,15,5.91%,34,3,12,35.29%,14434.44,1202.87,2151.98,14.91%,0,0%,0.39%
2,2790,232,8.32%,2558,91.68%,15,6.47%,31,4,8,25.81%,3304.29,413.04,606.28,18.35%,0,0%,0.29%
3,2900,297,10.24%,2603,89.76%,12,4.04%,25,3,10,40%,4487.39,448.74,744.9,16.60%,0,0%,0.34%
4,2842,294,10.34%,2548,89.66%,4,1.36%,21,1,4,19.05%,1092.05,273.01,202.06,18.50%,0,0%,0.14%
5,3065,145,4.73%,2920,95.27%,5,3.45%,17,3,2,11.76%,261.8,130.9,53.8,20.55%,0,0%,0.07%
6,3512,297,8.46%,3215,91.54%,6,2.02%,15,1,5,33.33%,1547.95,309.59,287.96,18.60%,0,0%,0.14%
7,3505,259,7.39%,3246,92.61%,3,1.16%,13,1,2,15.38%,3483.33,1741.67,633.34,18.18%,0,0%,0.06%
8,3220,163,5.06%,3057,94.94%,3,1.84%,11,2,1,9.09%,220,220,40,18.18%,0,0%,0.03%
9,3119,127,4.07%,2992,95.93%,2,1.57%,7,1,1,14.29%,330,330,60,18.18%,0,0%,0.03%
10,2900,88,3.03%,2812,96.97%,2,2.27%,6,1,1,16.67%,124.3,124.3,26.3,21.16%,0,0%,0.03%
11,2467,119,4.82%,2348,95.18%,0,0%,5,1,0,0%,0,0,0,0,0,0%,0%
12,2842,74,2.60%,2768,97.40%,3,4.05%,4,0,3,75%,2194.5,731.5,404.5,18.43%,0,0%,0.11%
13,3311,18,0.54%,3293,99.46%,1,5.56%,4,0,1,25%,244.44,244.44,44.44,18.18%,0,0%,0.03%
14,3077,56,1.82%,3021,98.18%,2,3.57%,4,2,0,0%,0,0,0,0,0,0%,0%
15,2467,28,1.13%,2439,98.87%,2,7.14%,3,0,2,66.67%,881.83,440.92,161.84,18.35%,0,0%,0.08%
16,3117,95,3.05%,3022,96.95%,0,0%,3,0,0,0%,0,0,0,0,0,0%,0%
17,3239,299,9.23%,2940,90.77%,2,0.67%,3,1,1,33.33%,201.67,201.67,36.66,18.18%,0,0%,0.03%
18,3220,73,2.27%,3147,97.73%,1,1.37%,3,0,1,33.33%,71.5,71.5,21.5,30.07%,0,0%,0.03%
19,3110,31,1%,3079,99%,1,3.23%,3,0,1,33.33%,248.11,248.11,45.12,18.19%,0,0%,0.03%
20,2924,9,0.31%,2915,99.69%,0,0%,3,1,1,33.33%,490.11,490.11,89.12,18.18%,0,0%,0.03%
21,2705,10,0.37%,2695,99.63%,1,10%,2,0,1,50%,49.5,49.5,19.5,39.39%,0,0%,0.04%
