号商,商品线索数,报价线索数,线索报价率,平均报价时间,未报价线索数,未报价率,同意报价数,同意报价率,付费订单数,交易中订单,成交订单数,成交率,平均成交时间,成交订单金额,客单价,毛收入,收益率,被付费线索数,付费率,回收成功率
号商_001,5896,771,13.08%,13分50秒,5125,86.92%,28,3.63%,86,2,27,31.4%,11时34分13秒,17913.47,663.46,3293.48,18.39%,0,0%,0.46%
号商_004,6762,587,8.68%,38分45秒,6175,91.32%,22,3.75%,46,0,22,47.83%,05时08分10秒,9019.61,409.98,1662.66,18.43%,0,0%,0.33%
号商_005,5833,431,7.39%,02分32秒,5402,92.61%,13,3.02%,36,2,11,30.56%,05时00分27秒,3478.33,316.21,637.34,18.32%,0,0%,0.19%
号商_002,5165,172,3.33%,15分11秒,4993,96.67%,12,6.98%,27,0,12,44.44%,01时22分50秒,8113.35,676.11,1490.34,18.37%,0,0%,0.23%
号商_003,5567,524,9.41%,05分03秒,5043,90.59%,9,1.72%,20,0,10,50%,48分43秒,8497.38,849.74,1561.38,18.37%,0,0%,0.18%
号商_007,6637,307,4.63%,22分42秒,6330,95.37%,10,3.26%,19,0,10,52.63%,06时35分52秒,4909.66,490.97,912.66,18.59%,0,0%,0.15%
号商_013,5444,594,10.91%,32分49秒,4850,89.09%,8,1.35%,18,0,8,44.44%,49分25秒,1541.22,192.65,321.22,20.84%,0,0%,0.15%
号商_006,4643,267,5.75%,05分34秒,4376,94.25%,10,3.75%,17,0,10,58.82%,01时48分51秒,4868.36,486.84,892.54,18.33%,0,0%,0.22%
号商_014,5819,257,4.42%,02分46秒,5562,95.58%,7,2.72%,13,0,7,53.85%,03时40分35秒,5395.49,770.78,986.5,18.28%,0,0%,0.12%
号商_009,6120,164,2.68%,05分12秒,5956,97.32%,7,4.27%,11,0,7,63.64%,01时09分24秒,3654.94,522.13,680.94,18.63%,0,0%,0.11%
号商_011,5865,123,2.1%,03分05秒,5742,97.9%,3,2.44%,10,0,3,30%,01时07分21秒,2566.66,855.55,466.66,18.18%,0,0%,0.05%
号商_033,6311,98,1.55%,05分00秒,6213,98.45%,5,5.1%,9,0,5,55.56%,36分13秒,2234.83,446.97,409.84,18.34%,0,0%,0.08%
号商_029,5567,336,6.04%,04分04秒,5231,93.96%,0,0%,8,0,0,0%,0,0.0,0.0,0.0,0,0,0%,0%
号商_010,4535,525,11.58%,39分43秒,4010,88.42%,3,0.57%,8,0,3,37.5%,07时17分44秒,601.94,200.65,109.96,18.27%,0,0%,0.07%
号商_017,5865,107,1.82%,01时13分17秒,5758,98.18%,2,1.87%,8,0,2,25%,30分49秒,571.39,285.7,111.38,19.49%,0,0%,0.03%
号商_022,5938,122,2.05%,04分26秒,5816,97.95%,2,1.64%,7,0,2,28.57%,19分25秒,731.74,365.87,135.74,18.55%,0,0%,0.03%
号商_015,5819,193,3.32%,01时48分57秒,5626,96.68%,4,2.07%,6,0,4,66.67%,03时22分33秒,5460.89,1365.22,992.88,18.18%,0,0%,0.07%
号商_008,5942,200,3.37%,05分03秒,5742,96.63%,4,2%,6,0,4,66.67%,10时50分48秒,3475.39,868.85,635.4,18.28%,0,0%,0.07%
号商_027,5938,190,3.2%,04分23秒,5748,96.8%,1,0.53%,5,0,1,20%,01时08分07秒,1711.11,1711.11,311.12,18.18%,0,0%,0.02%
号商_085,4654,22,0.47%,01时16分20秒,4632,99.53%,3,13.64%,5,0,3,60%,38分18秒,500.5,166.83,95.5,19.08%,0,0%,0.06%
号商_023,6894,58,0.84%,36分14秒,6836,99.16%,1,1.72%,5,0,1,20%,01时42分31秒,855.56,855.56,155.56,18.18%,0,0%,0.01%
号商_026,5969,156,2.61%,04分35秒,5813,97.39%,0,0%,4,0,0,0%,0,0.0,0.0,0.0,0,0,0%,0%
号商_012,6115,98,1.6%,03分49秒,6017,98.4%,1,1.02%,4,0,1,25%,45分31秒,268.89,268.89,48.88,18.18%,0,0%,0.02%
号商_025,4581,173,3.78%,06分21秒,4408,96.22%,1,0.58%,3,0,1,33.33%,39分58秒,1359.36,1359.36,247.16,18.18%,0,0%,0.02%
号商_021,6841,57,0.83%,27分33秒,6784,99.17%,1,1.75%,3,0,1,33.33%,01时08分24秒,1894.44,1894.44,344.44,18.18%,0,0%,0.01%
号商_016,5469,42,0.77%,04分46秒,5427,99.23%,3,7.14%,3,0,3,100%,51分16秒,1027.63,342.54,187.33,18.23%,0,0%,0.05%
号商_045,5942,14,0.24%,05分05秒,5928,99.76%,1,7.14%,2,0,1,50%,25分06秒,244.44,244.44,44.44,18.18%,0,0%,0.02%
号商_019,5444,32,0.59%,05分55秒,5412,99.41%,1,3.13%,2,0,1,50%,51分16秒,1197.78,1197.78,217.78,18.18%,0,0%,0.02%
号商_028,5527,22,0.4%,06分00秒,5505,99.6%,1,4.55%,2,0,1,50%,25时35分10秒,245.67,245.67,44.66,18.18%,0,0%,0.02%
号商_020,6696,22,0.33%,07分32秒,6674,99.67%,2,9.09%,2,0,2,100%,05时39分15秒,3202.22,1601.11,582.22,18.18%,0,0%,0.03%
号商_032,4831,9,0.19%,07分22秒,4822,99.81%,1,11.11%,2,0,1,50%,25时21分38秒,268.89,268.89,48.88,18.18%,0,0%,0.02%
号商_058,5444,14,0.26%,01时28分27秒,5430,99.74%,1,7.14%,1,0,1,100%,01时06分17秒,104.5,104.5,24.5,23.44%,0,0%,0.02%
