号商,商品线索数,报价线索数,线索报价率,平均报价时间,未报价线索数,未报价率,同意报价数,同意报价率,付费订单数,交易中订单,成交订单数,成交率,平均成交时间,成交订单金额,客单价,毛收入,收益率,被付费线索数,付费率,回收成功率
号商_001,5753,505,8.78%,05分44秒,5248,91.22%,38,7.52%,55,5,32,58.18%,04时02分08秒,23977.54,749.3,4371.58,18.23%,0,0%,0.56%
号商_002,5223,503,9.63%,11分00秒,4720,90.37%,20,3.98%,48,1,19,39.58%,04时26分31秒,10148.11,534.11,1858.14,18.31%,0,0%,0.36%
号商_003,5434,450,8.28%,04分06秒,4984,91.72%,16,3.56%,33,4,12,36.36%,01时10分35秒,7192.78,599.4,1324.78,18.42%,0,0%,0.22%
号商_004,6542,575,8.79%,04分32秒,5967,91.21%,16,2.78%,32,1,15,46.88%,05时51分08秒,4918.1,327.87,914.08,18.59%,0,0%,0.23%
号商_005,5678,304,5.35%,03分11秒,5374,94.65%,9,2.96%,27,2,7,25.93%,06时33分13秒,1490.75,212.96,295.74,19.84%,0,0%,0.12%
号商_006,4685,268,5.72%,18分41秒,4417,94.28%,10,3.73%,18,2,8,44.44%,47分13秒,1555.52,194.44,300.52,19.32%,0,0%,0.17%
号商_007,6485,281,4.33%,44分49秒,6204,95.67%,9,3.2%,16,3,6,37.5%,06时38分30秒,2879.43,479.91,531.44,18.46%,0,0%,0.09%
号商_008,5783,257,4.44%,03分56秒,5526,95.56%,8,3.11%,12,2,6,50%,38分57秒,5292.22,882.04,962.24,18.18%,0,0%,0.1%
号商_009,6002,462,7.7%,04分59秒,5540,92.3%,2,0.43%,11,1,1,9.09%,51分15秒,1207.56,1207.56,219.56,18.18%,0,0%,0.02%
号商_010,4573,435,9.51%,01时02分55秒,4138,90.49%,8,1.84%,11,2,6,54.55%,01时02分03秒,3733.89,622.32,678.88,18.18%,0,0%,0.13%
号商_011,5999,112,1.87%,03分32秒,5887,98.13%,4,3.57%,10,0,4,40%,28分53秒,1594.38,398.6,294.4,18.46%,0,0%,0.07%
号商_012,5960,119,2%,05分13秒,5841,98%,3,2.52%,9,1,2,22.22%,01时20分57秒,904.44,452.22,164.46,18.18%,0,0%,0.03%
号商_013,5322,412,7.74%,25分41秒,4910,92.26%,6,1.46%,9,0,6,66.67%,03时24分36秒,1317.93,219.66,249.92,18.96%,0,0%,0.11%
号商_014,5671,158,2.79%,02分46秒,5513,97.21%,1,0.63%,9,0,1,11.11%,32分00秒,244.44,244.44,44.44,18.18%,0,0%,0.02%
