号商,商品线索数,报价线索数,线索报价率,平均报价时间,未报价线索数,未报价率,同意报价数,同意报价率,付费订单数,交易中订单,成交订单数,成交率,平均成交时间,成交订单金额,客单价,毛收入,收益率,被付费线索数,付费率,回收成功率
商户042,923,185,20.04%,0,738,79.96%,70,37.84%,156,0,70,44.87%,12时46分13秒,36160.1,516.57,2075.1,5.74%,0,0%,7.58%
商户100,672,28,4.17%,0,644,95.83%,9,32.14%,26,0,9,34.62%,50分01秒,3672.6,408.07,212.6,5.79%,0,0%,1.34%
商户092,830,10,1.2%,0,820,98.8%,5,50%,7,0,5,71.43%,01时11分21秒,5746.26,1149.25,325.26,5.66%,0,0%,0.6%
商户057,783,5,0.64%,0,778,99.36%,2,40%,4,0,2,50%,41分55秒,2650,1325,150,5.66%,0,0%,0.26%
商户085,672,4,0.6%,0,668,99.4%,2,50%,4,0,2,50%,01时33分55秒,650,325,40,6.15%,0,0%,0.3%
商户029,672,2,0.3%,0,670,99.7%,0,0%,1,0,0,0%,0,0,0,0,0,0,0%,0%
商户059,719,1,0.14%,0,718,99.86%,1,100%,1,0,1,100%,01时06分51秒,1908,1908,108,5.66%,0,0%,0.14%
商户064,733,1,0.14%,0,732,99.86%,0,0%,1,0,0,0%,0,0,0,0,0,0,0%,0%
商户080,830,1,0.12%,0,829,99.88%,0,0%,1,0,0,0%,0,0,0,0,0,0,0%,0%
商户127,672,1,0.15%,0,671,99.85%,1,100%,1,0,1,100%,57分54秒,451.56,451.56,25.56,5.66%,0,0%,0.15%
商户001,844,0,0%,0,844,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户002,734,0,0%,0,734,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户003,695,0,0%,0,695,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户006,698,0,0%,0,698,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户007,672,0,0%,0,672,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户008,830,0,0%,0,830,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户009,723,0,0%,0,723,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户010,763,0,0%,0,763,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户012,672,0,0%,0,672,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户013,844,0,0%,0,844,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户013,844,0,0%,0,844,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户014,672,0,0%,0,672,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户015,839,0,0%,0,839,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户016,830,0,0%,0,830,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户017,844,0,0%,0,844,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户017,844,0,0%,0,844,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户018,783,0,0%,0,783,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户019,783,0,0%,0,783,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户020,686,0,0%,0,686,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户021,672,0,0%,0,672,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户022,830,0,0%,0,830,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户025,719,0,0%,0,719,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户027,678,0,0%,0,678,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户031,756,0,0%,0,756,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户034,889,0,0%,0,889,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户035,713,0,0%,0,713,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户037,844,0,0%,0,844,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户038,696,0,0%,0,696,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户040,783,0,0%,0,783,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户045,969,0,0%,0,969,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户046,853,0,0%,0,853,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户046,853,0,0%,0,853,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户046,853,0,0%,0,853,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户047,783,0,0%,0,783,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户048,686,0,0%,0,686,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户049,783,0,0%,0,783,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户051,672,0,0%,0,672,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户053,855,0,0%,0,855,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户054,745,0,0%,0,745,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户056,844,0,0%,0,844,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户058,672,0,0%,0,672,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户060,672,0,0%,0,672,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户061,772,0,0%,0,772,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户062,672,0,0%,0,672,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户063,672,0,0%,0,672,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户065,756,0,0%,0,756,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户067,719,0,0%,0,719,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户068,725,0,0%,0,725,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户070,783,0,0%,0,783,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户071,844,0,0%,0,844,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户072,830,0,0%,0,830,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户073,994,0,0%,0,994,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户074,706,0,0%,0,706,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户075,803,0,0%,0,803,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户076,783,0,0%,0,783,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户076,886,0,0%,0,886,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户081,681,0,0%,0,681,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户082,118,0,0%,0,118,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户083,959,0,0%,0,959,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户084,985,0,0%,0,985,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户086,698,0,0%,0,698,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户089,830,0,0%,0,830,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户090,672,0,0%,0,672,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户091,697,0,0%,0,697,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户094,844,0,0%,0,844,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户095,745,0,0%,0,745,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户097,859,0,0%,0,859,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户098,797,0,0%,0,797,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户101,861,0,0%,0,861,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户103,830,0,0%,0,830,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户104,672,0,0%,0,672,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户105,836,0,0%,0,836,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户106,897,0,0%,0,897,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户107,691,0,0%,0,691,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户108,686,0,0%,0,686,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户109,987,0,0%,0,987,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户111,672,0,0%,0,672,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户112,672,0,0%,0,672,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户114,733,0,0%,0,733,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户118,830,0,0%,0,830,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户120,864,0,0%,0,864,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户121,783,0,0%,0,783,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户122,790,0,0%,0,790,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户122,791,0,0%,0,791,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户123,830,0,0%,0,830,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户124,789,0,0%,0,789,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户125,111,0,0%,0,111,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
