序号,学校名称,教师总数_________人。,班级总数___________个。,学生总数___________人。,道德与法治教师人数：___________。,道德与法治教师名单：___________。（提示：用“、”隔开）,语文教师人数：___________。,语文教师名单：___________。（提示：用“、”隔开）,数学教师人数：___________。,数学教师名单：___________。（提示：用“、”隔开）,英语教师人数：___________。,英语教师名单：___________。（提示：用“、”隔开）,科学教师人数：___________。,科学教师名单：___________。（提示：用“、”隔开）,信息科技教师人数：___________。,信息科技教师名单：___________。（提示：用“、”隔开）,综合实践活动教师人数：___________。,综合实践活动教师名单：___________。（提示：用“、”隔开）,劳动教师人数：___________。,劳动教师名单：___________。（提示：用“、”隔开）,心理健康教师人数：___________。,心理健康教师名单：___________。（提示：用“、”隔开）,音乐教师人数：___________。,音乐教师名单：___________。（提示：用“、”隔开）,美术教师人数：___________。,美术教师名单：___________。（提示：用“、”隔开）,体育教师人数：___________。,体育教师名单：___________。（提示：用“、”隔开）,地方课程教师人数：___________。,地方课程教师名单：___________。（提示：用“、”隔开）,校本课程教师人数：___________。,校本课程教师名单：___________。（提示：用“、”隔开）,（附件3）2025年-2026学年各学校（在编和聘任）各学科任教教师人数及学生人数统计表（Excel版）,（附件3）2025年-2026学年各学校（在编和聘任）各学科任教教师人数及学生人数统计表（盖章签字扫描后的pdf版）
1,学校1,105,43,2138,4,教师1、教师2、教师3、教师4,34,教师348、教师349、教师350、教师351、教师352、教师353、教师354、教师355、教师356、教师357、教师358、教师359、教师360、教师361、教师362、教师363、教师364、教师365、教师366、教师367、教师368、教师369、教师370、教师371、教师372、教师373、教师374、教师375、教师376、教师377、教师378、教师379、教师380、教师381,29,教师1924、教师1925、教师1926、教师1927、教师1928、教师1929、教师1930、教师1931、教师1932、教师1933、教师1934、教师1935、教师1936、教师1937、教师1938、教师1939、教师1940、教师1823、教师1941、教师1942、教师1943、教师1944、教师1945、教师1946、教师1947、教师1948、教师1949、教师1950、教师1951,8,教师3068、教师3069、教师3070、教师3071、教师3072、教师3073、教师3074、教师3075,5,教师3368、教师3369、教师3370、教师3371、教师128,2,教师3580、教师3581,2,教师3690、教师3691,2,教师3757、教师3758,2,教师3809、教师3810,5,教师3871、教师3872、教师2895、教师3873、教师3874,4,教师4082、教师4083、教师4084、教师4085,7,教师1832、教师117、教师4291、教师4292、教师4293、教师4294、教师4295,0,教师347,1,教师4705,,
2,学校2,110,38,1963,8,教师5、教师6、教师7、教师8、教师9、教师10、教师11、教师12,37,教师382、教师383、教师384、教师385、教师386、教师387、教师388、教师389、教师390、教师391、教师392、教师393、教师394、教师395、教师396、教师397、教师398、教师399、教师400、教师401、教师402、教师403、教师404、教师405、教师406、教师407、教师408、教师409、教师410、教师411、教师412、教师413、教师414、教师415、教师416、教师417、教师418,26,教师1952、教师40、教师1953、教师1954、教师1955、教师1956、教师1957、教师1958、教师1959、教师1960、教师1961、教师1962、教师1544、教师128、教师1963、教师1964、教师1965、教师1966、教师1967、教师1968、教师1969、教师1970、教师1971、教师1972、教师1973、教师1974,6,教师3076、教师3077、教师3078、教师3079、教师3080、教师3081,7,教师3372、教师1986、教师3373、教师3374、教师3375、教师3376、教师3377,2,教师3582、教师3583,2,教师3692、教师3693,0,教师347,0,教师347,5,教师428、教师3875、教师3876、教师3877、教师3878,7,教师3135、教师2631、教师4086、教师4087、教师4088、教师4089、教师4090,9,教师4296、教师1405、教师4297、教师3195、教师4298、教师4299、教师4300、教师4301、教师4302,1,教师4630,0,教师347,,
3,学校3,157,65,3331,12,教师13、教师14、教师15、教师16、教师17、教师18、教师19、教师20、教师21、教师22、教师23、教师24,41,教师419、教师420、教师421、教师422、教师423、教师424、教师425、教师426、教师427、教师428、教师429、教师430、教师431、教师432、教师433、教师434、教师435、教师436、教师437、教师438、教师439、教师440、教师441、教师442、教师443、教师444、教师445、教师446、教师223、教师447、教师448、教师449、教师450、教师451、教师452、教师453、教师454、教师455、教师456、教师457、教师458,42,教师1975、教师1976、教师1977、教师1978、教师1979、教师1980、教师1981、教师1982、教师1983、教师1984、教师1985、教师1986、教师1987、教师1988、教师1989、教师1990、教师1991、教师1992、教师1993、教师1994、教师1200、教师1995、教师1996、教师1997、教师1998、教师1999、教师2000、教师2001、教师2002、教师2003、教师2004、教师2005、教师2006、教师2007、教师2008、教师2009、教师2010、教师2011、教师2012、教师2013、教师2014、教师2015,11,教师3082、教师3083、教师3084、教师3085、教师3086、教师3087、教师3088、教师3089、教师3090、教师3091、教师3092,6,教师3378、教师3379、教师3380、教师3381、教师3382、教师3383,5,教师3584、教师3585、教师3586、教师3587、教师3588,1,教师3694,1,教师3759,6,教师611、教师3811、教师3812、教师3813、教师3814、教师3815,6,教师3879、教师3880、教师3881、教师1269、教师3882、教师3883,7,教师4091、教师4092、教师4093、教师4094、教师4095、教师1064、教师4096,15,教师4303、教师4304、教师4305、教师4306、教师4307、教师4308、教师4309、教师4310、教师4311、教师4312、教师4313、教师4314、教师4315、教师4316、教师4317,1,教师4631,3,教师4706、教师4707、教师4708,,
4,学校4,86,29,1458,10,教师25、教师26、教师27、教师28、教师29、教师30、教师31、教师32、教师33、教师34,23,教师459、教师460、教师461、教师462、教师457、教师463、教师464、教师465、教师466、教师467、教师468、教师469、教师470、教师471、教师472、教师473、教师474、教师475、教师476、教师477、教师478、教师479、教师480,18,教师2016、教师2017、教师2018、教师2019、教师2020、教师2021、教师2022、教师2023、教师2024、教师2025、教师542、教师2026、教师2027、教师2028、教师2029、教师2030、教师2031、教师2032,2,教师3093、教师3094,7,教师3384、教师3385、教师3386、教师3387、教师3388、教师3389、教师3390,5,教师3589、教师3590、教师3591、教师3592、教师3593,0,教师347,1,教师3760,1,教师3816,4,教师3884、教师3885、教师3886、教师3887,4,教师4097、教师4098、教师4099、教师4100,8,教师4318、教师4319、教师4320、教师3417、教师4321、教师564、教师4322、教师3528,3,教师4632、教师4633、教师2210,0,教师347,,
5,学校5,118,46,2212,5,教师35、教师36、教师37、教师38、教师39、教师40,29,教师481、教师482、教师483、教师484、教师485、教师486、教师487、教师488、教师489、教师490、教师491、教师492、教师225、教师493、教师494、教师495、教师496、教师497、教师498、教师499、教师500、教师501、教师502、教师503、教师504、教师505、教师506、教师507、教师508,27,教师2033、教师2034、教师2035、教师2036、教师2037、教师2038、教师2039、教师2040、教师1550、教师2041、教师2042、教师2043、教师2044、教师2045、教师2046、教师2047、教师2048、教师2049、教师2050、教师2051、教师2052、教师2053、教师2054、教师2055、教师2056、教师2057、教师2058,7,教师3095、教师3096、教师3097、教师3098、教师3099、教师1361、教师3100,7,教师3391、教师3392、教师3393、教师3394、教师3395、教师3396、教师3397,3,教师3594、教师3345、教师3595,7,教师3695、教师3696、教师3697、教师3698、教师452、教师3699、教师3700,3,教师3761、教师3762、教师3763,4,教师3817、教师3818、教师3819、教师40,6,教师3888、教师3889、教师3890、教师3891、教师3892、教师3893,6,教师2662、教师4101、教师4102、教师4103、教师4104,11,教师4323、教师4324、教师4325、教师4326、教师4327、教师4328、教师4329、教师4330、教师4331、教师1254、教师4332,1,教师4634,2,教师4709、教师4710,,
6,学校6,91,49,2371,5,教师41、教师42、教师43、教师44、教师45,32,教师509、教师510、教师511、教师512、教师513、教师514、教师515、教师516、教师517、教师518、教师519、教师520、教师521、教师522、教师523、教师524、教师525、教师526、教师527、教师528、教师529、教师530、教师531、教师532、教师533、教师534、教师535、教师536、教师537、教师538、教师539、教师346,18,教师2059、教师2060、教师2061、教师128、教师2062、教师2063、教师1948、教师2064、教师2065、教师2066、教师2067、教师2068、教师2069、教师2070、教师2071、教师2072、教师2073、教师2074,4,教师3101、教师3102、教师3103、教师3104,5,教师3398、教师3399、教师3400、教师3401、教师3402,1,教师3596,1,教师3701,1,教师3764,1,教师3820,6,教师3244、教师585、教师3894、教师3895、教师1753、教师3896,6,教师4105、教师4106、教师4107、教师4108、教师4109、教师4110,7,教师4333、教师4334、教师4335、教师4336、教师4337、教师4338、教师4339,3,教师3289、教师4635、教师4636,1,教师4711,,
7,学校7,137,51,2484,11,教师46、教师47、教师48、教师49、教师50、教师51、教师52、教师53、教师54、教师55、教师56,36,教师540、教师541、教师542、教师543、教师544、教师545、教师546、教师547、教师548、教师549、教师550、教师551、教师552、教师553、教师554、教师555、教师556、教师557、教师111、教师558、教师559、教师560、教师561、教师562、教师563、教师564、教师565、教师566、教师567、教师568、教师569、教师570、教师571、教师572、教师573、教师574,32,教师2075、教师2076、教师2077、教师2078、教师2079、教师2080、教师2081、教师2082、教师2083、教师387、教师2084、教师2085、教师2086、教师2087、教师2088、教师2089、教师2090、教师2091、教师2092、教师564、教师2093、教师2094、教师2095、教师2096、教师2097、教师2098、教师2099、教师2100、教师2101、教师2102、教师2103、教师2104,9,教师3105、教师3106、教师3107、教师1116、教师3108、教师3109、教师3110、教师3111、教师1472,8,教师3403、教师3404、教师3405、教师3406、教师3407、教师3408、教师3409、教师3410,4,教师3597、教师3598、教师3599、教师3600,2,教师3702、教师3703,3,教师3765、教师3766、教师3767,3,教师3821、教师3822、教师3823,8,教师21、教师3897、教师3314、教师3898、教师3899、教师3900、教师3901、教师3902,8,教师4111、教师4112、教师4113、教师4114、教师110、教师4115、教师4116、教师4117,11,教师4340、教师4341、教师4342、教师4343、教师4344、教师4345、教师4346、教师4347、教师4348,2,教师4637、教师4638,0,教师347,,
8,学校8,126,44,2255,11,教师57、教师58、教师59、教师60、教师61、教师62、教师63、教师64、教师65、教师66、教师67,47,教师575、教师576、教师577、教师578、教师579、教师580、教师581、教师582、教师583、教师584、教师585、教师586、教师587、教师588、教师589、教师590、教师591、教师592、教师593、教师594、教师595、教师596、教师597、教师598、教师599、教师600、教师601、教师602、教师603、教师604、教师605、教师606、教师607、教师608、教师609、教师610、教师611、教师612、教师613、教师614、教师615、教师616、教师617、教师618、教师619、教师620、教师621,28,教师2105、教师1955、教师364、教师2106、教师2107、教师2108、教师2109、教师2110、教师2111、教师2112、教师2113、教师2114、教师2115、教师2116、教师2117、教师2118、教师2119、教师2120、教师2121、教师2122、教师2123、教师2124、教师2125、教师2126、教师293、教师2127、教师2128、教师2129,5,教师1597、教师731、教师3112、教师3113、教师3114,5,教师3411、教师3412、教师3413、教师3414、教师900,2,教师3601、教师3602,0,教师3704,1,教师3768,1,教师397,7,教师3903、教师3904、教师3905、教师3906、教师3893、教师276、教师3907,7,教师4118、教师4119、教师4120、教师4121、教师4122、教师4123、教师4124,11,教师4349、教师4350、教师4351、教师4352、教师4353、教师4354、教师4355、教师4356、教师4251、教师4357、教师4358,1,教师4639,0,教师3704,,
9,学校9,75,33,1591,6,教师68、教师69、教师70、教师71、教师72、教师73,26,教师622、教师623、教师624、教师478、教师625、教师626、教师627、教师628、教师629、教师630、教师631、教师632、教师633、教师634、教师635、教师636、教师637、教师638、教师639、教师640、教师641、教师642、教师643、教师644、教师645、教师646,18,教师2130、教师2131、教师2132、教师2133、教师2134、教师2135、教师1511、教师2136、教师2137、教师2138、教师2139、教师634、教师2140、教师2141、教师2142、教师2143、教师2144、教师2145,4,教师3115、教师3116、教师3117、教师3118,1,教师3415,1,教师3603,1,教师3705,0,教师347,0,教师347,4,教师3841、教师3908、教师3909、教师3910,5,教师4125、教师4126、教师4127、教师4128、教师4129,8,教师4359、教师4360、教师4361、教师111、教师4362、教师4363、教师4364、教师4365,1,教师4640,0,教师347,"=DISPIMG(""ID_DE7C6F8820BB46C5871B9EC7ED4397CC"",1)",
10,学校10,134,53,2722,2,教师74、教师75,42,教师647、教师648、教师649、教师650、教师651、教师652、教师653、教师654、教师655、教师656、教师657、教师658、教师659、教师660、教师661、教师662、教师663、教师664、教师665、教师666、教师667、教师668、教师669、教师670、教师671、教师672、教师673、教师674、教师675、教师676、教师677、教师678、教师679、教师680、教师681、教师682、教师683、教师684、教师685、教师686、教师687、教师688,37,教师2146、教师2147、教师2148、教师2149、教师1431、教师2150、教师2151、教师2152、教师2153、教师2154、教师2155、教师2156、教师2157、教师2158、教师2159、教师2160、教师2161、教师2162、教师2163、教师2164、教师2165、教师2166、教师2167、教师2168、教师2169、教师2170、教师2171、教师2172、教师2173、教师2174、教师2175、教师2176、教师2177、教师2178、教师2179、教师2180、教师2181,8,教师3119、教师3120、教师3121、教师3122、教师3123、教师5、教师3124、教师3125,5,教师3416、教师3417、教师3418、教师3419、教师3420,2,教师3604、教师3605,3,教师3706、教师3707、教师3708,4,教师3769、教师3770、教师3771、教师3772,3,教师3824、教师3825、教师3826,5,教师3911、教师3912、教师3913、教师3914、教师3915,6,教师4130、教师4131、教师4132、教师4133、教师4134、教师4135,11,教师4366、教师4367、教师4368、教师4369、教师4370、教师4371、教师4372、教师4373、教师4374、教师4375、教师4376,5,教师4641、教师4642、教师1148、教师4643、教师4644,1,教师309,,
11,学校11,72,29,1391,2,教师76、教师77,27,教师689、教师690、教师691、教师692、教师693、教师694、教师695、教师696、教师697、教师698、教师699、教师700、教师701、教师702、教师703、教师704、教师705、教师706、教师707、教师708、教师709、教师710、教师711、教师712、教师713、教师714、教师715,21,教师2182、教师2183、教师2184、教师2185、教师2186、教师2187、教师2188、教师2189、教师2190、教师2191、教师2192、教师2193、教师930、教师2194、教师457、教师2195、教师2196、教师2197、教师2198、教师2199、教师2200,4,教师1102、教师3126、教师3127、教师3128,3,教师929、教师3421、教师3422,2,教师3606、教师3607,0,教师3709,0,教师347,0,教师347,4,教师1361、教师3916、教师3917、教师2788,4,教师4136、教师4137、教师4138、教师4139,4,教师4377、教师4378、教师4379、教师4380,1,教师4645,0,教师347,,
12,学校12,116,42,2080,13,教师78、教师79、教师80、教师81、教师82、教师83、教师84、教师85、教师86、教师87、教师88、教师89、教师90,39,教师716、教师717、教师718、教师719、教师720、教师721、教师722、教师723、教师724、教师725、教师726、教师727、教师728、教师611、教师729、教师730、教师731、教师732、教师733、教师734、教师552、教师735、教师736、教师737、教师738、教师739、教师740、教师741、教师742、教师743、教师744、教师745、教师746、教师747、教师748、教师749、教师750、教师751、教师752,28,教师2201、教师2202、教师2203、教师2204、教师2205、教师2206、教师2207、教师2208、教师2209、教师2210、教师2211、教师2212、教师2213、教师2214、教师2215、教师2216、教师2217、教师2218、教师2219、教师2220、教师2221、教师2222、教师2223、教师2224、教师2225、教师2226、教师2227、教师2228,6,教师3129、教师3130、教师3131、教师3132、教师3133、教师3134,6,教师3423、教师3424、教师3425、教师3426、教师3427、教师1279,2,教师3608、教师3609,1,教师3710,0,教师347,1,教师3827,5,教师3918、教师3919、教师3920、教师3921、教师2864,6,教师4140、教师4141、教师1572、教师4142、教师159、教师4143,6,教师2984、教师4381、教师4382、教师4383、教师4384、教师4385,0,教师347,3,教师4712、教师4713、教师4714,,
13,学校13,82,33,1501,8,教师91、教师92、教师93、教师94、教师95、教师96、教师97、教师98,32,教师753、教师754、教师755、教师756、教师757、教师758、教师759、教师760、教师761、教师762、教师763、教师764、教师765、教师766、教师767、教师768、教师769、教师770、教师771、教师492、教师772、教师773、教师774、教师775、教师776、教师777、教师778、教师779、教师780、教师781、教师782、教师783,20,教师2229、教师602、教师2230、教师2231、教师2232、教师2233、教师2234、教师2235、教师2236、教师2237、教师2238、教师2239、教师2240、教师2241、教师2242、教师2243、教师2244、教师2245、教师2246、教师2247,6,教师3135、教师3136、教师3137、教师3138、教师3139、教师3140,3,教师1597、教师3428、教师3429,1,教师3610,0,教师347,0,教师347,0,教师347,4,教师3922、教师3923、教师3924、教师3925,3,教师4144、教师4145、教师4146,5,教师4386、教师602、教师4387、教师4388、教师4389,0,教师347,0,教师347,,
14,学校14,153,59,3065,10,教师99、教师100、教师101、教师102、教师103、教师104、教师105、教师106、教师107、教师108,55,教师784、教师785、教师786、教师668、教师787、教师788、教师789、教师790、教师791、教师792、教师793、教师794、教师795、教师796、教师797、教师798、教师799、教师800、教师801、教师802、教师803、教师804、教师805、教师806、教师807、教师808、教师809、教师810、教师811、教师812、教师813、教师814、教师815、教师299、教师816、教师817、教师818、教师819、教师820、教师821、教师822、教师823、教师824、教师825、教师826、教师827、教师828、教师829、教师830、教师831、教师832、教师833、教师834、教师835、教师836,30,教师2248、教师2249、教师2250、教师2251、教师2252、教师2253、教师2254、教师2255、教师2256、教师2257、教师2258、教师2259、教师2260、教师2261、教师2262、教师232、教师2263、教师2264、教师2265、教师1536、教师2266、教师2267、教师2268、教师2269、教师2270、教师2271、教师2272、教师2273、教师2274、教师2275,7,教师3141、教师3142、教师3143、教师3144、教师3145、教师3146、教师3147,6,教师3430、教师3431、教师2610、教师3432、教师2767、教师413,4,教师3611、教师2120、教师3612、教师3613,6,教师3711、教师3712、教师3713、教师3714、教师3715、教师3716,1,教师3773,4,教师3828、教师3829、教师3830、教师3831,5,教师1326、教师3926、教师3927、教师1256、教师3928,8,教师4147、教师4148、教师4149、教师4150、教师4151、教师4152、教师3204、教师4153,12,教师4390、教师4391、教师4392、教师4393、教师4135、教师4394、教师4395、教师4396、教师4397、教师2529、教师4398、教师4399,3,教师4646、教师1949、教师4647,2,教师4715、教师4716,,
15,学校15,81,35,1550,7,教师109、教师110、教师111、教师112、教师113、教师114、教师115,29,教师837、教师838、教师839、教师840、教师841、教师842、教师843、教师844、教师845、教师846、教师847、教师848、教师205、教师849、教师850、教师851、教师852、教师853、教师854、教师855、教师856、教师857、教师858、教师452、教师859、教师860、教师861、教师862、教师863,20,教师2276、教师2277、教师2278、教师1530、教师2279、教师2280、教师2281、教师2282、教师2283、教师2284、教师2285、教师2286、教师2287、教师2288、教师2289、教师2290、教师2291、教师1313、教师2292、教师2293,4,教师3148、教师3149、教师3150、教师3151,6,教师3433、教师3434、教师3435、教师3436、教师3437、教师3438,3,教师3614、教师3615、教师3616,0,教师347,0,教师347,1,教师3832,4,教师3929、教师3930、教师3931、教师3932,3,教师4154、教师4155、教师4156,4,教师4400、教师740、教师4401、教师4402,0,教师347,0,教师347,,
