公司,事业部,站点,员工名称,出行方式,任务审核状态,是否活跃
公司1,事业部1,站点1,员工1,电动车,未提交,沉默
公司1,事业部2,站点2,员工2,公共交通,未提交,沉默
公司1,事业部3,站点3,员工3,电动车,未提交,沉默
公司1,事业部1,站点1,员工4,电动车,未提交,沉默
公司1,事业部1,站点1,员工5,公共交通,未提交,沉默
公司1,事业部4,站点4,员工6,电动车,未提交,沉默
公司1,事业部5,站点5,员工7,电动车,未提交,沉默
公司1,事业部6,站点6,员工8,电动车,未提交,沉默
公司1,事业部1,站点1,员工9,公共交通,未提交,沉默
公司1,事业部7,站点7,员工10,电动车,未提交,沉默
公司1,事业部2,站点2,员工11,公共交通,未提交,沉默
公司1,事业部1,站点1,员工12,公共交通,未提交,沉默
公司1,事业部4,站点4,员工13,公共交通,未提交,沉默
公司1,事业部1,站点1,员工14,公共交通,未提交,沉默
公司1,事业部1,站点1,员工15,电动车,未提交,沉默
公司1,事业部8,站点8,员工16,汽车,未提交,沉默
公司1,事业部4,站点4,员工17,公共交通,未提交,沉默
公司1,事业部1,站点1,员工18,电动车,未提交,沉默
公司1,事业部4,站点4,员工19,公共交通,未提交,沉默
公司1,事业部1,站点1,员工20,公共交通,未提交,沉默
公司1,事业部1,站点1,员工21,电动车,未提交,沉默
公司1,事业部8,站点9,员工22,电动车,未提交,沉默
公司1,事业部4,站点4,员工23,汽车,未提交,沉默
公司1,事业部1,站点1,员工24,公共交通,未提交,沉默
公司1,事业部8,站点8,员工25,公共交通,未提交,沉默
公司1,事业部7,站点7,员工26,公共交通,未提交,沉默
公司1,事业部3,站点10,员工27,电动车,未提交,沉默
公司1,事业部7,站点7,员工28,电动车,未提交,沉默
公司1,事业部2,站点11,员工29,公共交通,未提交,沉默
公司1,事业部1,站点1,员工30,公共交通,未提交,沉默
公司1,事业部4,站点12,员工31,电动车,未提交,沉默
公司1,事业部3,站点10,员工32,电动车,未提交,沉默
公司1,事业部5,站点5,员工33,电动车,未提交,沉默
公司1,事业部1,站点1,员工34,公共交通,未提交,沉默
公司1,事业部4,站点4,员工35,汽车,未提交,沉默
公司1,事业部3,站点10,员工36,电动车,未提交,沉默
公司1,事业部1,站点1,员工37,电动车,未提交,沉默
公司1,事业部4,站点12,员工38,电动车,未提交,沉默
公司1,事业部1,站点1,员工39,公共交通,未提交,沉默
公司1,事业部6,站点6,员工40,电动车,未提交,沉默
公司1,事业部1,站点1,员工41,电动车,未提交,沉默
公司1,事业部1,站点1,员工42,电动车,未提交,沉默
公司1,事业部5,站点5,员工43,电动车,未提交,沉默
公司1,事业部3,站点3,员工44,电动车,未提交,沉默
公司1,事业部4,站点12,员工45,电动车,未提交,沉默
公司1,事业部4,站点12,员工46,电动车,未提交,沉默
公司1,事业部4,站点12,员工47,电动车,未提交,沉默
公司1,事业部5,站点13,员工48,电动车,未提交,沉默
公司1,事业部4,站点4,员工49,公共交通,未提交,沉默
公司1,事业部9,站点14,员工50,电动车,未提交,沉默
公司1,事业部4,站点15,员工51,电动车,未提交,沉默
公司1,事业部4,站点12,员工52,汽车,未提交,沉默
公司1,事业部2,站点11,员工53,电动车,未提交,沉默
公司1,事业部4,站点12,员工54,电动车,未提交,沉默
公司1,事业部5,站点13,员工55,电动车,未提交,沉默
公司1,事业部5,站点5,员工56,电动车,未提交,沉默
公司1,事业部10,站点16,员工57,电动车,未提交,沉默
公司1,事业部7,站点7,员工58,电动车,未提交,沉默
公司1,事业部1,站点1,员工59,电动车,未提交,沉默
公司1,事业部11,站点17,员工60,电动车,未提交,沉默
公司1,事业部1,站点1,员工61,电动车,未提交,沉默
公司1,事业部2,站点2,员工62,电动车,未提交,沉默
公司1,事业部5,站点5,员工63,电动车,未提交,沉默
公司1,事业部11,站点18,员工64,公共交通,未提交,沉默
公司1,事业部4,站点19,员工65,电动车,未提交,沉默
公司1,事业部4,站点19,员工66,公共交通,未提交,沉默
公司1,事业部4,站点19,员工67,电动车,未提交,沉默
公司1,事业部8,站点8,员工68,汽车,未提交,沉默
公司1,事业部4,站点4,员工69,汽车,未提交,沉默
公司1,事业部7,站点7,员工70,公共交通,未提交,沉默
公司1,事业部1,站点1,员工71,电动车,未提交,沉默
公司1,事业部3,站点3,员工72,电动车,未提交,沉默
公司1,事业部11,站点17,员工73,公共交通,未提交,沉默
公司1,事业部11,站点17,员工74,公共交通,未提交,沉默
公司1,事业部7,站点7,员工75,电动车,未提交,沉默
公司1,事业部4,站点12,员工76,电动车,未提交,沉默
公司1,事业部4,站点12,员工77,电动车,未提交,沉默
公司1,事业部3,站点3,员工78,电动车,未提交,沉默
公司1,事业部1,站点1,员工79,公共交通,未提交,沉默
公司1,事业部9,站点14,员工80,电动车,未提交,沉默
公司1,事业部11,站点17,员工81,电动车,未提交,沉默
公司1,事业部10,站点16,员工82,公共交通,未提交,沉默
公司1,事业部1,站点1,员工83,公共交通,未提交,沉默
公司1,事业部9,站点14,员工84,电动车,未提交,沉默
公司1,事业部3,站点10,员工85,电动车,未提交,沉默
公司1,事业部8,站点8,员工86,汽车,未提交,沉默
公司1,事业部1,站点1,员工87,电动车,未提交,沉默
