商品编码,商品名称,年份,第一计量单位编码,第一计量单位名称,第二计量单位编码,第二计量单位名称
000000,改良种用马,2025,9,千克,1,头
000001,其他马，改良种用除外,2025,9,千克,1,头
000002,驴,2025,9,千克,1,头
000003,骡,2025,9,千克,1,头
000004,改良种用家牛,2025,9,千克,1,头
000005,其他家牛，改良种用除外,2025,9,千克,1,头
000006,改良种用水牛,2025,9,千克,1,头
000007,其他水牛，改良种用除外,2025,9,千克,1,头
000008,其他牛,2025,9,千克,1,头
000009,改良种用猪,2025,9,千克,1,头
000010,其他猪，重量＜50kg,2025,9,千克,1,头
000011,其他猪，重量≥50kg,2025,9,千克,1,头
000012,绵羊,2025,9,千克,1,头
000013,山羊,2025,9,千克,1,头
000014,鸡，重量≤185g,2025,9,千克,1,只
000015,火鸡,2025,9,千克,1,只
000016,鸭,2025,9,千克,1,只
000017,鹅,2025,9,千克,1,只
000018,珍珠鸡,2025,9,千克,1,只
000019,鸡，重量＞185g,2025,9,千克,1,只
000020,鸭、鹅、火鸡及珍珠鸡，重量＞185克,2025,9,千克,1,只
000021,灵长目动物,2025,9,千克,1,只
000022,鲸、海豚及鼠海豚；海牛及儒艮；海豹、海狮及海象,2025,9,千克,1,只
000023,骆驼及其他骆驼科动物,2025,9,千克,1,只
000024,家兔及野兔,2025,9,千克,1,只
000025,其他哺乳动物,2025,9,千克,1,只
000026,爬行动物（包括蛇及龟、鳖）,2025,9,千克,1,只
000027,猛禽,2025,9,千克,1,只
000028,鹦形目鸟（包括普通鹦鹉、长尾鹦鹉等）,2025,9,千克,1,只
000029,鸵鸟；鸸鹋,2025,9,千克,1,只
000030,其他鸟,2025,9,千克,1,只
000031,蜂,2025,9,千克,1,只
000032,其他昆虫,2025,9,千克,1,只
000033,其他活动物,2025,9,千克,1,只
000034,鲜、冷整头及半头牛肉,2025,9,千克,?,?
000035,鲜、冷带骨牛肉,2025,9,千克,?,?
000036,鲜、冷去骨牛肉,2025,9,千克,?,?
000037,冻整头及半头牛肉,2025,9,千克,?,?
000038,冻带骨牛肉,2025,9,千克,?,?
000039,冻去骨牛肉,2025,9,千克,?,?
000040,鲜、冷整头及半头猪肉,2025,9,千克,?,?
000041,鲜、冷带骨猪前腿、猪后腿及其肉块,2025,9,千克,?,?
000042,其他鲜、冷猪肉,2025,9,千克,?,?
000043,冻整头及半头猪肉,2025,9,千克,?,?
000044,冻带骨猪前腿、猪后腿及其肉块,2025,9,千克,?,?
000045,其他冻猪肉,2025,9,千克,?,?
000046,鲜、冷整头及半头羔羊肉,2025,9,千克,?,?
000047,鲜、冷整头及半头绵羊肉,2025,9,千克,?,?
000048,鲜、冷带骨绵羊肉,2025,9,千克,?,?
000049,鲜、冷去骨绵羊肉,2025,9,千克,?,?
000050,冻整头及半头羔羊肉,2025,9,千克,?,?
000051,冻整头及半头绵羊肉,2025,9,千克,?,?
000052,冻带骨绵羊肉,2025,9,千克,?,?
000053,冻去骨绵羊肉,2025,9,千克,?,?
000054,鲜、冷、冻山羊肉,2025,9,千克,?,?
000055,鲜、冷、冻马、驴、骡肉,2025,9,千克,?,?
000056,鲜、冷牛杂碎,2025,9,千克,?,?
000057,冻牛舌,2025,9,千克,?,?
000058,冻牛肝,2025,9,千克,?,?
000059,其他冻牛杂碎,2025,9,千克,?,?
000060,鲜、冷猪杂碎,2025,9,千克,?,?
000061,冻猪肝,2025,9,千克,?,?
000062,其他冻猪杂碎,2025,9,千克,?,?
000063,其他鲜、冷杂碎（牛、猪杂碎除外）,2025,9,千克,?,?
000064,其他冻杂碎（牛、猪杂碎除外）,2025,9,千克,?,?
000065,整只鸡，鲜或冷的,2025,9,千克,?,?
000066,整只鸡，冻的,2025,9,千克,?,?
000067,鸡块及杂碎，鲜或冷的,2025,9,千克,?,?
000068,鸡块及杂碎，冻的,2025,9,千克,?,?
000069,整只火鸡，鲜或冷的,2025,9,千克,?,?
000070,整只火鸡，冻的,2025,9,千克,?,?
000071,火鸡块及杂碎，鲜或冷的,2025,9,千克,?,?
000072,火鸡块及杂碎，冻的,2025,9,千克,?,?
000073,鲜或冷的整只鸭,2025,9,千克,?,?
000074,整只冻鸭,2025,9,千克,?,?
000075,鲜或冷的鸭肥肝,2025,9,千克,?,?
000076,鲜或冷的鸭块及杂碎,2025,9,千克,?,?
000077,冻的鸭块及杂碎,2025,9,千克,?,?
000078,鲜或冷的整只鹅,2025,9,千克,?,?
000079,整只冻鹅,2025,9,千克,?,?
000080,鲜或冷的鹅肥肝,2025,9,千克,?,?
000081,鲜或冷的鹅块及杂碎,2025,9,千克,?,?
000082,冻的鹅块及杂碎,2025,9,千克,?,?
000083,鲜、冷、冻的珍珠鸡及杂碎,2025,9,千克,?,?
000084,鲜、冷、冻家兔或野兔肉及食用杂碎,2025,9,千克,?,?
000085,鲜、冷、冻灵长目动物肉及食用杂碎,2025,9,千克,?,?
