股票代码,年份,企业ID,时间ID,公司简称,所属省份,所属城市,股权性质,投入1_研发人员占比,投入2_数字化无形资产占比,投入3_研发投入占比,产出1_数字化成果,产出2_利润总额,产出3_数字化应用,环境变量1_所在城市移动互联网用户规模,环境变量2_地方财政科技支出强度（R&D经费强度）,环境变量3_企业规模
000032.SZ,2019,000032,2019,深桑达A,广东省,深圳市,1.0,20.02,0.172102761585129,1.67,29.0674,202725820.86,34.9683,5.3452,2.86931933410441,21.5743827819824
000032.SZ,2020,000032,2020,深桑达A,广东省,深圳市,1.0,29.83,0.115584430386505,2.04,29.1528,228588649.68,24.9097,4.588,3.13075412319751,21.6732883453369
000032.SZ,2021,000032,2021,深桑达A,广东省,深圳市,1.0,11.0,4.86451205977017,2.37,32.6764,1571743427.16,99.7301,469.9828,3.20894447139381,24.5104103088379
000032.SZ,2022,000032,2022,深桑达A,广东省,深圳市,1.0,11.57,6.17295692820539,3.01,22.215,1185054832.09,99.6214,4.304,3.40651136251328,24.6905422210693
000032.SZ,2023,000032,2023,深桑达A,广东省,深圳市,1.0,18.07,11.6689736869786,3.3,20.3836,1343825818.0,98.7585,4.3207,3.53984138355991,24.7578315734863
000065.SZ,2019,000065,2019,北方国际,北京市,北京市,1.0,33.99,0.743801778910017,1.2,29.0674,854524416.93,34.0579,2.8768,6.30153956400179,23.4142456054688
000065.SZ,2020,000065,2020,北方国际,北京市,北京市,1.0,29.9,0.872070289247369,0.92,29.1528,903071955.91,24.9097,2.8696,6.47291511909034,23.6181488037109
000065.SZ,2021,000065,2021,北方国际,北京市,北京市,1.0,10.44,0.961395771846434,1.21,36.6163,807040959.4,26.3926,225.1808,6.40585300251428,23.6856384277344
000065.SZ,2022,000065,2022,北方国际,北京市,北京市,1.0,11.7,1.26385412846589,1.0,22.215,965531131.31,25.9199,2.7506,6.84467452558803,23.8179607391357
000065.SZ,2023,000065,2023,北方国际,北京市,北京市,1.0,17.11,1.4397752136745,0.97,20.3836,1114029155.31,26.4977,2.8095,6.73452038015845,23.8912506103516
002047.SZ,2019,002047,2019,宝鹰股份,广东省,深圳市,1.0,19.36,100.0,3.14,29.0674,224163737.48,84.6202,5.3452,2.86931933410441,23.0465297698975
002047.SZ,2020,002047,2020,宝鹰股份,广东省,深圳市,1.0,18.74,1.9733582716952,3.18,29.1528,140611996.31,59.7851,4.588,3.13075412319751,23.2105731964111
002047.SZ,2021,002047,2021,宝鹰股份,广东省,深圳市,1.0,14.23,2.00011113242245,3.13,32.6764,-1935344469.62,35.7286,469.9828,3.20894447139381,23.0887241363525
002047.SZ,2022,002047,2022,宝鹰股份,广东省,深圳市,1.0,14.88,1.87420048633861,3.2,22.215,-2506706303.73,29.9913,4.304,3.40651136251328,22.9347534179688
002047.SZ,2023,002047,2023,宝鹰股份,广东省,深圳市,1.0,18.82,1.87420048633861,2.93,20.3836,-1068024428.63,30.6469,4.3207,3.53984138355991,22.9700870513916
002051.SZ,2019,002051,2019,中工国际,北京市,北京市,1.0,45.8,13.8079832547702,5.69,29.0674,1212540208.85,25.3314,2.8768,6.30153956400179,23.8142852783203
002051.SZ,2020,002051,2020,中工国际,北京市,北京市,1.0,43.29,12.856828820897,6.66,29.1528,-99536073.09,40.9974,2.8696,6.47291511909034,23.7997875213623
002051.SZ,2021,002051,2021,中工国际,北京市,北京市,1.0,53.6,16.1861926502862,5.78,36.6163,279398354.3,76.4338,225.1808,6.40585300251428,23.8164138793945
