号商名称,本周报价线索数,上周报价线索数,报价线索数变化量,本周线索报价率,上周线索报价率,线索报价率变化量(百分点)
10,88,257,-169,3.03,8.39,-5.36
1,254,350,-96,8.19,10.77,-2.58
19,31,123,-92,1,3.77,-2.77
5,145,232,-87,4.73,7.22,-2.49
8,0,60,-60,0,1.79,-1.79
27,30,89,-59,0.95,2.71,-1.76
52,66,123,-57,2.72,4.97,-2.25
25,181,238,-57,7.51,9.74,-2.23
16,95,145,-50,3.05,4.43,-1.38
24,49,89,-40,1.6,2.78,-1.18
4,294,331,-37,10.34,11.09,-0.75
3,297,325,-28,10.24,10.61,-0.37
13,18,45,-27,0.54,1.3,-0.76
102,18,45,-27,0.5,1.21,-0.71
18,0,21,-21,0,0.63,-0.63
11,119,135,-16,4.82,5.39,-0.57
103,0,11,-11,0,0.45,-0.45
88,1,12,-11,0.03,0.37,-0.34
96,15,23,-8,0.41,0.61,-0.2
46,0,7,-7,0,0.21,-0.21
109,32,38,-6,1.12,1.27,-0.15
21,10,14,-4,0.37,0.51,-0.14
20,9,12,-3,0.31,0.41,-0.1
22,9,12,-3,0.34,0.45,-0.11
119,9,12,-3,0.37,0.49,-0.12
60,2,4,-2,0.07,0.13,-0.06
80,0,1,-1,0,0.03,-0.03
81,0,1,-1,0,0.03,-0.03
