号商,上上周报价商品数,上周报价商品数,报价商品数_变化量,报价商品数_变化率,上上周报价率,上周报价率,报价率_变化量,报价率_变化率,上上周成交订单数,上周成交订单数,成交订单数_变化量,成交订单数_变化率,上上周成交订单金额,上周成交订单金额,成交订单金额_变化量,成交订单金额_变化率
号商_014,257,158,-99,-38.52%,4.42%,2.79%,-1.63,-36.88%,7,1,-6,-85.71%,5395.49,244.44,-5151.05,-95.47%
号商_007,307,281,-26,-8.47%,4.63%,4.33%,-0.3,-6.48%,10,6,-4,-40.00%,4909.66,2879.43,-2030.23,-41.35%
号商_005,431,304,-127,-29.47%,7.39%,5.35%,-2.04,-27.60%,11,7,-4,-36.36%,3478.33,1490.75,-1987.58,-57.14%
号商_027,190,77,-113,-59.47%,3.20%,1.32%,-1.88,-58.75%,1,0,-1,-100.00%,1711.11,0.0,-1711.11,-100.00%
号商_016,42,0,-42,-100.00%,0.77%,0.00%,-0.77,-100.00%,3,0,-3,-100.00%,1027.63,0.0,-1027.63,-100.00%
号商_022,122,73,-49,-40.16%,2.05%,1.26%,-0.79,-38.54%,2,0,-2,-100.00%,731.74,0.0,-731.74,-100.00%
号商_033,98,50,-48,-48.98%,1.55%,0.81%,-0.74,-47.74%,5,1,-4,-80.00%,2234.83,1574.22,-660.61,-29.56%
号商_085,22,8,-14,-63.64%,0.47%,0.17%,-0.3,-63.83%,3,0,-3,-100.00%,500.5,0.0,-500.5,-100.00%
号商_012,98,1,-97,-98.98%,1.60%,0.02%,-1.58,-98.75%,1,0,-1,-100.00%,268.89,0.0,-268.89,-100.00%
号商_012,98,0,-98,-100.00%,1.60%,0.00%,-1.6,-100.00%,1,0,-1,-100.00%,268.89,0.0,-268.89,-100.00%
