日期,小时,人工订单数量,高疑似订单数量
2024-09-16,0,9317,8081
2024-09-16,1,10837,9366
2024-09-16,2,9255,8019
2024-09-16,3,11693,10168
2024-09-16,4,14127,12241
2024-09-16,5,8390,7185
2024-09-16,6,8821,7626
2024-09-16,7,10126,8618
2024-09-16,8,9008,7710
2024-09-16,9,10136,8673
2024-09-16,10,9513,8201
2024-09-16,11,7744,6578
2024-09-16,12,8497,7347
2024-09-16,13,8727,7536
2024-09-16,14,8377,7328
2024-09-16,15,7519,6553
2024-09-16,16,4719,4166
2024-09-16,17,2591,2281
2024-09-16,18,1898,1672
2024-09-16,19,1427,1262
2024-09-16,20,1137,994
2024-09-16,21,983,854
2024-09-16,22,1448,1270
2024-09-16,23,6794,5886
2024-11-10,0,5959,5064
2024-11-10,1,7085,6017
2024-11-10,2,6091,5112
2024-11-10,3,7515,6440
2024-11-10,4,9866,8418
2024-11-10,5,6451,5422
2024-11-10,6,6418,5461
2024-11-10,7,7632,6511
2024-11-10,8,6740,5737
2024-11-10,9,7892,6774
2024-11-10,10,7912,6685
2024-11-10,11,6140,5179
2024-11-10,12,6915,5878
2024-11-10,13,7509,6364
2024-11-10,14,8174,7002
2024-11-10,15,7722,6769
2024-11-10,16,5031,4401
2024-11-10,17,3131,2733
2024-11-10,18,2122,1870
2024-11-10,19,1385,1183
2024-11-10,20,1090,952
2024-11-10,21,828,697
2024-11-10,22,916,765
2024-11-10,23,4133,3514
