指数名称,数据点数,平均值,标准差,最小值,最大值,波动范围,变异系数
凯差_客,300,200.7213,57.4232,79.2,419.0,339.8,0.2861
赔付_客,300,52.251,10.5141,32.4,70.7,38.3,0.2012
赢亏_客,300,-56.3847,10.4503,-74.7,-36.7,38.0,-0.1853
赔付_和,300,-45.402,4.6278,-55.8,-37.3,18.5,-0.1019
赢亏_和,300,40.9773,4.5885,32.9,51.3,18.4,0.112
热指_客,300,15.3116,2.0663,10.0,22.08,12.08,0.135
凯利_客,300,109.83,1.9563,105.0,116.0,11.0,0.0178
赔付_主,300,5.1353,2.7945,-0.3,10.4,10.7,0.5442
赢亏_主,300,-6.5633,2.6988,-11.6,-1.3,10.3,-0.4112
凯差_主,300,12.533,3.0699,8.5,17.4,8.9,0.2449
凯差_和,300,1.9007,2.2177,0.0,8.2,8.2,1.1668
比例_主,300,71.5037,1.9191,67.8,75.3,7.5,0.0268
必指_主,300,33.77,2.0073,30.1,37.4,7.3,0.0594
必指_客,300,48.7487,1.8487,44.8,51.1,6.3,0.0379
热指_和,300,1.0777,1.4567,-1.91,3.41,5.32,1.3517
凯利_和,300,95.8703,1.3971,93.0,98.1,5.1,0.0146
赔指_主,300,15.4773,1.2624,13.2,18.0,4.8,0.0816
必指_和,300,17.479,1.1377,15.0,19.5,4.5,0.0651
赔指_客,300,63.9403,1.4438,61.2,65.5,4.3,0.0226
比例_客,300,17.2787,1.2095,15.4,19.4,4.0,0.07
比例_和,300,11.2203,0.9088,9.2,12.9,3.7,0.081
赔指_和,300,20.5917,1.0795,18.5,21.9,3.4,0.0524
凯利_主,300,92.3703,0.4336,91.7,93.1,1.4,0.0047
热指_主,300,-0.2162,0.4537,-0.9,0.41,1.31,-2.0983
赔付率_客,300,8.9417,0.0224,8.92,8.99,0.07,0.0025
赔付率_和,300,4.9379,0.0141,4.92,4.96,0.04,0.0029
赔付率_主,300,1.46,0.0,1.46,1.46,0.0,0.0
