指数名称,数据点数,平均值,标准差,最小值,最大值,波动范围,变异系数
凯差_客,300,99.0193,72.6437,1.2,351.0,349.8,0.7336
赔付_客,300,11.2547,37.5137,-69.0,58.1,127.1,3.3332
赢亏_客,300,-15.478,37.2644,-62.0,64.2,126.2,-2.4076
凯差_和,300,17.5147,15.5376,0.0,71.2,71.2,0.8871
赔指_客,300,51.6417,13.373,20.7,62.6,41.9,0.259
必指_客,300,38.9903,11.0914,14.3,50.3,36.0,0.2845
赔付_主,300,12.073,9.0888,2.2,35.2,33.0,0.7528
赢亏_主,300,-13.379,8.843,-36.0,-3.8,32.2,-0.661
必指_主,300,41.377,8.9548,32.9,62.3,29.4,0.2164
赔指_主,300,24.3423,8.0976,17.9,43.9,26.0,0.3327
赔指_和,300,24.0107,5.4095,19.2,38.5,19.3,0.2253
热指_客,300,10.5864,3.5319,1.94,20.32,18.38,0.3336
凯利_客,300,105.1687,3.347,97.1,115.0,17.9,0.0318
比例_主,300,73.813,4.9886,68.6,85.6,17.0,0.0676
比例_客,300,15.4583,5.0491,4.6,20.9,16.3,0.3266
赔付_和,300,-46.2227,3.7171,-55.3,-39.8,15.5,-0.0804
赢亏_和,300,41.76,3.6874,35.4,50.8,15.4,0.0883
凯差_主,300,4.615,2.4929,0.2,12.7,12.5,0.5402
必指_和,300,19.6283,2.5162,16.3,27.1,10.8,0.1282
热指_和,300,-2.8309,2.0788,-7.8,1.32,9.12,-0.7343
凯利_和,300,92.2147,1.956,87.5,96.0,8.5,0.0212
热指_主,300,1.2515,0.6459,-0.34,2.87,3.21,0.5161
凯利_主,300,93.8297,0.6694,92.5,95.6,3.1,0.0071
比例_和,300,10.7203,0.5998,9.5,12.0,2.5,0.0559
赔付率_客,300,7.1204,0.342,6.3,7.31,1.01,0.048
赔付率_和,300,4.8602,0.0392,4.76,4.92,0.16,0.0081
赔付率_主,300,1.5569,0.0127,1.54,1.59,0.05,0.0081
