second_channel_code_chn,full_channel_code,lead,deal,trails,finishs,payments,LTT%,FTP%,LTP%
OT-Web,OT-FM-INEN-NA-CNC,7,6,4,2,0,0.571428571428571,0.0,0.0
OT-APP,OT-APP-APPS-LTO-NA,6,6,3,1,1,0.5,1.0,0.166666666666667
OT-Web,OT-FM-INCN-NA-CNC,3,2,3,0,0,1.0,0.0,0.0
OT-Web,OT-FM-ID-NA-CNC,2,1,1,0,0,0.5,0.0,0.0
OT-CS,OT-CS-FM-INCN-CNC,2,2,2,1,0,1.0,0.0,0.0
OT-WC,OT-WC-LG-GZ-NA,2,2,2,0,0,1.0,0.0,0.0
OT-other,OT-FB-SG-IP-NA,1,1,1,0,0,1.0,0.0,0.0
OT-Web,OT-FM-SG-NA-CNC,1,1,1,0,0,1.0,0.0,0.0
OT-WC,OT-WC-LG-WM-NA02072,1,0,0,0,0,0.0,0.0,0.0
OT-WC,OT-WC-LG-CD-PY,1,0,0,0,0,0.0,0.0,0.0
