订单年月日,订单年月,is_ot,ot_official,科目,线索量,约课量,试听完课量,新签订单量
2025-12-04,2025-12,0,0,Chinese,635,247,24,33
2025-12-04,2025-12,1,0,Chinese,451,153,28,1
2025-12-04,2025-12,0,0,English,69,16,3,39
2025-12-04,2025-12,1,1,Chinese,6,4,0,0
2025-12-04,2025-12,1,0,English,4,2,2,22
2025-12-04,2025-12,1,1,Math,0,0,0,2
2025-12-04,2025-12,0,0,Math,0,0,0,20
2025-12-04,2025-12,1,1,English,0,0,0,2
2025-12-03,2025-12,0,0,Chinese,540,262,51,31
2025-12-03,2025-12,1,0,Chinese,431,200,77,0
2025-12-03,2025-12,0,0,English,66,28,12,22
2025-12-03,2025-12,1,1,Chinese,6,4,3,4
2025-12-03,2025-12,1,0,English,6,3,2,24
2025-12-03,2025-12,1,1,English,0,0,0,1
2025-12-03,2025-12,0,0,Math,0,0,0,6
2025-12-02,2025-12,0,0,Chinese,531,289,109,49
2025-12-02,2025-12,1,0,Chinese,511,274,156,3
2025-12-02,2025-12,0,0,English,66,33,15,33
2025-12-02,2025-12,1,0,English,6,3,2,34
2025-12-02,2025-12,0,0,Math,0,0,0,6
2025-12-01,2025-12,0,0,Chinese,713,380,155,45
2025-12-01,2025-12,1,0,Chinese,615,366,230,0
2025-12-01,2025-12,0,0,English,60,32,22,42
2025-12-01,2025-12,1,0,English,8,5,4,24
2025-12-01,2025-12,1,1,Chinese,5,2,0,2
2025-12-01,2025-12,1,0,Math,0,0,0,1
2025-12-01,2025-12,0,0,Math,0,0,0,7
2025-11-30,2025-11,0,0,Chinese,900,453,180,143
2025-11-30,2025-11,1,0,Chinese,354,198,130,0
2025-11-30,2025-11,0,0,English,56,31,23,128
2025-11-30,2025-11,1,0,English,10,7,4,42
2025-11-30,2025-11,1,1,Chinese,6,4,2,1
2025-11-30,2025-11,0,0,Math,0,0,0,74
2025-11-30,2025-11,1,1,English,0,0,0,2
2025-11-30,2025-11,1,1,Math,0,0,0,1
2025-11-30,2025-11,1,0,Math,0,0,0,0
2025-11-29,2025-11,0,0,Chinese,768,414,202,96
2025-11-29,2025-11,1,0,Chinese,398,214,161,3
2025-11-29,2025-11,0,0,English,49,20,15,66
2025-11-29,2025-11,1,0,English,8,8,8,39
2025-11-29,2025-11,1,1,Chinese,10,5,4,3
2025-11-29,2025-11,1,1,English,0,0,0,1
2025-11-29,2025-11,0,0,Math,0,0,0,22
2025-11-29,2025-11,1,0,Math,0,0,0,2
2025-11-28,2025-11,0,0,Chinese,665,325,193,68
2025-11-28,2025-11,1,0,Chinese,385,224,180,1
2025-11-28,2025-11,0,0,English,56,35,30,35
2025-11-28,2025-11,1,0,English,6,6,5,33
2025-11-28,2025-11,1,1,Chinese,7,3,3,1
2025-11-28,2025-11,0,0,Math,0,0,0,39
2025-11-28,2025-11,1,1,English,0,0,0,2
2025-11-27,2025-11,0,0,Chinese,869,384,232,51
2025-11-27,2025-11,1,0,Chinese,407,247,188,0
2025-11-27,2025-11,0,0,English,81,39,33,49
2025-11-27,2025-11,1,0,English,8,6,6,9
2025-11-27,2025-11,1,1,Chinese,11,5,4,2
2025-11-27,2025-11,1,0,Math,0,0,0,2
2025-11-27,2025-11,0,0,Math,0,0,0,16
2025-11-27,2025-11,1,1,Math,0,0,0,1
2025-11-26,2025-11,1,0,Chinese,648,395,313,3
2025-11-26,2025-11,0,0,Chinese,868,360,230,59
2025-11-26,2025-11,0,0,English,88,47,39,53
2025-11-26,2025-11,1,1,Chinese,14,8,6,0
2025-11-26,2025-11,1,0,English,9,4,3,23
2025-11-26,2025-11,1,1,English,0,0,0,0
2025-11-26,2025-11,0,0,Math,0,0,0,26
2025-11-25,2025-11,0,0,Chinese,961,425,269,22
2025-11-25,2025-11,1,0,Chinese,672,388,309,0
2025-11-25,2025-11,0,0,English,91,51,39,48
2025-11-25,2025-11,1,1,Chinese,12,5,4,0
2025-11-25,2025-11,1,0,English,6,4,4,24
2025-11-25,2025-11,0,0,Math,0,0,0,19
2025-11-24,2025-11,1,0,Chinese,751,442,366,0
2025-11-24,2025-11,0,0,Chinese,999,398,271,78
2025-11-24,2025-11,0,0,English,124,53,47,36
2025-11-24,2025-11,1,1,Chinese,14,6,4,1
2025-11-24,2025-11,1,0,English,9,2,1,46
2025-11-24,2025-11,1,0,Math,0,0,0,1
2025-11-24,2025-11,0,0,Math,0,0,0,43
2025-11-24,2025-11,1,1,English,0,0,0,0
2025-11-23,2025-11,0,0,Chinese,905,451,265,86
2025-11-23,2025-11,1,0,Chinese,612,375,294,2
2025-11-23,2025-11,0,0,English,101,55,43,77
2025-11-23,2025-11,1,0,English,8,7,6,13
2025-11-23,2025-11,1,1,Chinese,7,6,4,4
2025-11-23,2025-11,0,0,Math,0,0,0,22
2025-11-23,2025-11,1,0,Math,0,0,0,2
2025-11-22,2025-11,0,0,Chinese,794,443,275,78
2025-11-22,2025-11,1,0,Chinese,442,290,245,2
2025-11-22,2025-11,0,0,English,95,59,46,50
2025-11-22,2025-11,1,1,Chinese,12,6,4,1
2025-11-22,2025-11,1,0,English,7,6,5,9
2025-11-22,2025-11,0,0,Math,0,0,0,16
2025-11-22,2025-11,1,0,Math,0,0,0,1
2025-11-21,2025-11,0,0,Chinese,814,407,301,73
2025-11-21,2025-11,0,0,English,105,68,56,45
2025-11-21,2025-11,1,0,Chinese,62,35,29,2
2025-11-21,2025-11,1,0,English,7,3,2,6
2025-11-21,2025-11,1,1,Chinese,7,2,1,2
2025-11-21,2025-11,0,0,Math,0,0,0,17
2025-11-21,2025-11,1,1,Math,0,0,0,1
2025-11-21,2025-11,1,0,Math,0,0,0,2
2025-11-20,2025-11,0,0,Chinese,646,371,257,43
2025-11-20,2025-11,0,0,English,97,57,47,31
2025-11-20,2025-11,1,0,Chinese,62,42,35,1
2025-11-20,2025-11,1,0,English,11,7,5,7
2025-11-20,2025-11,1,1,Chinese,9,4,3,4
2025-11-20,2025-11,0,0,Math,0,0,0,23
2025-11-19,2025-11,0,0,Chinese,683,365,248,39
2025-11-19,2025-11,0,0,English,120,68,53,48
2025-11-19,2025-11,1,0,Chinese,84,48,40,0
2025-11-19,2025-11,1,0,English,3,3,3,10
2025-11-19,2025-11,0,0,Math,0,0,0,2
2025-11-18,2025-11,0,0,Chinese,558,335,242,50
2025-11-18,2025-11,0,0,English,98,61,50,27
2025-11-18,2025-11,1,0,Chinese,60,38,31,1
2025-11-18,2025-11,1,0,English,5,5,5,6
2025-11-18,2025-11,1,1,Chinese,3,2,2,3
2025-11-18,2025-11,1,1,Math,0,0,0,1
2025-11-18,2025-11,0,0,Math,0,0,0,19
2025-11-18,2025-11,1,0,Math,0,0,0,1
2025-11-17,2025-11,0,0,Chinese,1011,466,311,72
2025-11-17,2025-11,1,0,Chinese,191,105,84,3
2025-11-17,2025-11,0,0,English,89,58,46,48
