号商,商品线索数,报价线索数,线索报价率,平均报价时间,未报价线索数,未报价率,同意报价数,同意报价率,付费订单数,交易中订单,成交订单数,成交率,平均成交时间,成交订单金额,客单价,毛收入,收益率,被付费线索数,付费率,回收成功率
号商_001,3513,929,26.44%,0,2584,73.56%,549,59.1%,842,43,505,59.98%,06时36分36秒,241490.14,478.2,13140.6,5.44%,0,0%,14.38%
号商_002,2780,108,3.88%,0,2672,96.12%,58,53.7%,98,0,58,59.18%,06时42分00秒,17444.8,300.77,1039.8,5.96%,0,0%,2.09%
号商_003,3002,39,1.3%,0,2963,98.7%,16,41.03%,34,0,16,47.06%,02时10分03秒,11476.38,717.27,653.38,5.69%,0,0%,0.53%
号商_011,2780,23,0.83%,0,2757,99.17%,10,43.48%,19,0,10,52.63%,01时46分35秒,3869.68,386.97,221.68,5.73%,0,0%,0.36%
号商_009,2431,19,0.78%,0,2412,99.22%,10,52.63%,18,1,9,50%,47分18秒,5504.58,611.62,311.58,5.66%,0,0%,0.37%
号商_012,2575,13,0.5%,0,2562,99.5%,3,23.08%,10,0,3,30%,47分55秒,393.0,131.0,30.0,7.63%,0,0%,0.12%
号商_004,3002,12,0.4%,0,2990,99.6%,4,33.33%,7,0,4,57.14%,16时32分27秒,1273.46,318.37,72.46,5.69%,0,0%,0.13%
号商_084,2780,7,0.25%,0,2773,99.75%,1,14.29%,6,0,1,16.67%,29分56秒,70.0,70.0,10.0,14.29%,0,0%,0.04%
号商_020,3052,8,0.26%,0,3044,99.74%,4,50%,6,0,4,66.67%,03时43分12秒,785.6,196.4,15.6,1.99%,0,0%,0.13%
号商_005,2780,7,0.25%,0,2773,99.75%,1,14.29%,6,0,1,16.67%,17分07秒,90.0,90.0,10.0,11.11%,0,0%,0.04%
号商_017,3066,5,0.16%,0,3061,99.84%,2,40%,4,0,2,50%,34分32秒,394.4,197.2,24.4,6.19%,0,0%,0.07%
号商_025,2638,4,0.15%,0,2634,99.85%,2,50%,4,0,2,50%,21分40秒,169.0,84.5,9.0,5.33%,0,0%,0.08%
号商_026,2624,4,0.15%,0,2620,99.85%,3,75%,3,0,3,100%,17时24分53秒,1081.2,360.4,61.2,5.66%,0,0%,0.11%
号商_129,349,3,0.86%,0,346,99.14%,2,66.67%,3,0,2,66.67%,12时13分44秒,1558.2,779.1,88.2,5.66%,0,0%,0.57%
号商_008,2431,3,0.12%,0,2428,99.88%,1,33.33%,3,0,1,33.33%,48分34秒,1263.52,1263.52,71.52,5.66%,0,0%,0.04%
号商_019,2431,3,0.12%,0,2428,99.88%,2,66.67%,2,0,2,100%,03时17分42秒,742.0,371.0,42.0,5.66%,0,0%,0.08%
号商_035,2431,2,0.08%,0,2429,99.92%,0,0%,2,0,0,0%,0,0.0,0.0,0.0,0,0,0%,0%
号商_015,2643,2,0.08%,0,2641,99.92%,0,0%,1,0,0,0%,0,0.0,0.0,0.0,0,0,0%,0%
