号商,商品线索数,报价线索数,线索报价率,平均报价时间,未报价线索数,未报价率,同意报价数,同意报价率,付费订单数,交易中订单,成交订单数,成交率,平均成交时间,成交订单金额,客单价,毛收入,收益率,被付费线索数,付费率,回收成功率
号商_001,3299,846,25.64%,0,2453,74.36%,541,63.95%,729,94,447,61.32%,05时52分11秒,234662.8,524.97,13092.0,5.58%,0,0%,13.55%
号商_002,2687,62,2.31%,0,2625,97.69%,37,59.68%,55,6,32,58.18%,06时35分04秒,7671.2,239.73,501.2,6.53%,0,0%,1.19%
号商_003,2955,48,1.62%,0,2907,98.38%,28,58.33%,41,1,27,65.85%,01时23分01秒,15079.8,558.51,891.8,5.91%,0,0%,0.91%
号商_004,2889,35,1.21%,0,2854,98.79%,18,51.43%,28,0,18,64.29%,03时38分54秒,8188.94,454.94,468.94,5.73%,0,0%,0.62%
号商_005,2687,20,0.74%,0,2667,99.26%,13,65%,18,4,9,50%,01时46分18秒,7809.48,867.72,451.48,5.78%,0,0%,0.33%
号商_006,2452,15,0.61%,0,2437,99.39%,12,80%,15,0,12,80%,06时32分05秒,2873.6,239.47,143.6,5%,0,0%,0.49%
号商_007,2133,18,0.84%,0,2115,99.16%,9,50%,15,0,9,60%,46分30秒,6220.8,691.2,360.8,5.8%,0,0%,0.42%
号商_008,2310,18,0.78%,0,2292,99.22%,8,44.44%,14,2,6,42.86%,40分27秒,3606.8,601.13,206.8,5.73%,0,0%,0.26%
号商_009,2597,14,0.54%,0,2583,99.46%,9,64.29%,13,2,7,53.85%,09时05分48秒,5093.8,727.69,293.8,5.77%,0,0%,0.27%
号商_010,2889,11,0.38%,0,2878,99.62%,7,63.64%,11,8,0,0%,0,0.0,0.0,0.0,0,0,0%,0%
号商_011,2687,12,0.45%,0,2675,99.55%,5,41.67%,9,0,5,55.56%,01时18分14秒,2260.98,452.2,127.98,5.66%,0,0%,0.19%
号商_012,2739,7,0.26%,0,2732,99.74%,5,71.43%,7,0,5,71.43%,01时25分28秒,1143.3,228.66,68.3,5.97%,0,0%,0.18%
号商_013,135,9,6.67%,0,126,93.33%,7,77.78%,7,0,7,100%,22分44秒,1190.0,170.0,50.0,4.2%,0,0%,5.19%
号商_014,2951,8,0.27%,0,2943,99.73%,4,50%,7,0,4,57.14%,58分11秒,6784.0,1696.0,384.0,5.66%,0,0%,0.14%
号商_015,2511,7,0.28%,0,2504,99.72%,4,57.14%,6,2,2,33.33%,40时55分17秒,692.2,346.1,47.2,6.82%,0,0%,0.08%
号商_016,2512,6,0.24%,0,2506,99.76%,6,100%,6,0,6,100%,57分45秒,2416.8,402.8,136.8,5.66%,0,0%,0.24%
号商_017,2951,5,0.17%,0,2946,99.83%,1,20%,5,0,1,20%,01时05分36秒,402.8,402.8,22.8,5.66%,0,0%,0.03%
号商_018,709,5,0.71%,0,704,99.29%,3,60%,5,3,0,0%,0,0.0,0.0,0.0,0,0,0%,0%
号商_019,2310,6,0.26%,0,2304,99.74%,4,66.67%,5,1,3,60%,01时44分35秒,2279.0,759.67,129.0,5.66%,0,0%,0.13%
号商_020,2932,5,0.17%,0,2927,99.83%,2,40%,5,0,2,40%,47分38秒,373.8,186.9,23.8,6.37%,0,0%,0.07%
号商_021,2310,6,0.26%,0,2304,99.74%,2,33.33%,4,0,2,50%,25分27秒,922.2,461.1,52.2,5.66%,0,0%,0.09%
号商_022,2310,6,0.26%,0,2304,99.74%,3,50%,4,2,1,25%,44时42分07秒,125.0,125.0,10.0,8%,0,0%,0.04%
号商_023,2687,3,0.11%,0,2684,99.89%,1,33.33%,3,1,0,0%,0,0.0,0.0,0.0,0,0,0%,0%
号商_024,2948,5,0.17%,0,2943,99.83%,1,20%,3,0,1,33.33%,01时26分41秒,508.8,508.8,28.8,5.66%,0,0%,0.03%
号商_025,2502,3,0.12%,0,2499,99.88%,1,33.33%,3,0,1,33.33%,06分02秒,10.0,10.0,0.0,0%,0,0%,0.04%
号商_026,2445,2,0.08%,0,2443,99.92%,1,50%,2,0,1,50%,57分39秒,1537.0,1537.0,87.0,5.66%,0,0%,0.04%
号商_027,2696,2,0.07%,0,2694,99.93%,2,100%,2,0,2,100%,33分47秒,293.2,146.6,23.2,7.91%,0,0%,0.07%
号商_028,2310,2,0.09%,0,2308,99.91%,1,50%,2,0,1,50%,26分33秒,551.2,551.2,31.2,5.66%,0,0%,0.04%
号商_029,2889,1,0.03%,0,2888,99.97%,0,0%,1,0,0,0%,0,0.0,0.0,0.0,0,0,0%,0%
号商_030,377,1,0.27%,0,376,99.73%,0,0%,1,0,0,0%,0,0.0,0.0,0.0,0,0,0%,0%
号商_031,1113,1,0.09%,0,1112,99.91%,0,0%,1,0,0,0%,0,0.0,0.0,0.0,0,0,0%,0%
号商_032,689,2,0.29%,0,687,99.71%,1,50%,1,0,1,100%,16分04秒,169.0,169.0,0.0,0%,0,0%,0.15%
号商_033,2951,1,0.03%,0,2950,99.97%,0,0%,1,0,0,0%,0,0.0,0.0,0.0,0,0,0%,0%
号商_034,575,2,0.35%,0,573,99.65%,1,50%,1,0,1,100%,01时43分13秒,10.0,10.0,0.0,0%,0,0%,0.17%
号商_035,2310,1,0.04%,0,2309,99.96%,0,0%,1,0,0,0%,0,0.0,0.0,0.0,0,0,0%,0%
号商_036,2955,0,0%,0,2955,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_037,676,0,0%,0,676,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_038,2310,0,0%,0,2310,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_039,2357,0,0%,0,2357,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_040,2310,0,0%,0,2310,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_041,2898,0,0%,0,2898,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_042,2501,0,0%,0,2501,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_043,2310,0,0%,0,2310,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_044,2951,0,0%,0,2951,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_044,2951,0,0%,0,2951,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_045,2310,0,0%,0,2310,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_046,2923,0,0%,0,2923,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
