网店名称,月份,当月销售额,环比增长率(%)
账号0026,2024-10,5743.84,--
账号0026,2025-03,6472.8,12.69%
账号0026,2025-05,6996.0,8.08%
账号0026,2025-07,6220.0,-11.09%
账号0026,2025-08,5782.0,-7.04%
账号0026,2025-09,3420.0,-40.85%
账号0026,2025-10,16426.0,380.29%
账号0287,2024-10,7534.24,--
账号0287,2024-11,5351.68,-28.97%
账号0287,2024-12,12771.28,138.64%
账号0287,2025-01,17220.06,34.83%
账号0287,2025-02,1680.0,-90.24%
账号0287,2025-03,6309.92,275.59%
账号0287,2025-04,2472.0,-60.82%
账号0287,2025-05,10224.0,313.59%
账号0287,2025-06,8712.0,-14.79%
账号0287,2025-07,6004.0,-31.08%
账号0287,2025-08,6246.0,4.03%
账号0287,2025-09,6544.0,4.77%
账号0287,2025-10,8882.0,35.73%
账号0288,2025-03,2544.0,--
账号0288,2025-05,4380.0,72.17%
账号0288,2025-07,5208.0,18.90%
账号0288,2025-08,8113.0,55.78%
账号0288,2025-09,8136.0,0.28%
账号0109,2025-07,1908.0,--
账号0109,2025-08,3816.0,100.00%
账号0289,2025-06,9661.0,--
账号0289,2025-07,-265.0,-102.74%
