网店名称,月份,当月销售额,环比增长率(%)
账号0026,2024-10,5743.84,--
账号0026,2025-03,6472.80,12.69%
账号0026,2025-05,6996.00,8.08%
账号0026,2025-07,6220.00,-11.09%
账号0026,2025-08,5782.00,-7.04%
账号0026,2025-09,3420.00,-40.85%
账号0026,2025-10,16426.00,380.29%
账号0287,2024-10,7534.24,--
账号0287,2024-11,5351.68,-28.97%
账号0287,2024-12,12771.28,138.64%
账号0287,2025-01,17220.06,34.83%
账号0287,2025-02,1680.00,-90.24%
账号0287,2025-03,6309.92,275.59%
账号0287,2025-04,2472.00,-60.82%
账号0287,2025-05,10224.00,313.59%
账号0287,2025-06,8712.00,-14.79%
账号0287,2025-07,6004.00,-31.08%
账号0287,2025-08,6246.00,4.03%
账号0287,2025-09,6544.00,4.77%
账号0287,2025-10,8882.00,35.73%
账号0288,2025-03,2544.00,--
账号0288,2025-05,4380.00,72.17%
账号0288,2025-07,5208.00,18.90%
账号0288,2025-08,8113.00,55.78%
账号0288,2025-09,8136.00,0.28%
账号0109,2025-07,1908.00,--
账号0109,2025-08,3816.00,100.00%
账号0289,2025-06,9661.00,--
账号0289,2025-07,-265.00,-102.74%
