订单年月日,订单年月,科目,是否ot渠道,是否ot官网,线索量,约课量,试听完课量,新签订单量
2025-12-20,2025-12,English,0,0,640,172,30,81
2025-12-20,2025-12,Chinese,0,0,425,167,1,47
2025-12-20,2025-12,English,1,0,231,68,13,21
2025-12-20,2025-12,Math,0,0,95,37,1,32
2025-12-20,2025-12,Chinese,1,0,10,3,1,4
2025-12-20,2025-12,Chinese,1,1,8,3,0,2
2025-12-20,2025-12,Math,1,0,3,1,0,2
2025-12-20,2025-12,Music,0,0,0,0,0,0
2025-12-20,2025-12,Music,1,0,0,0,0,0
2025-12-19,2025-12,English,1,0,338,149,81,16
2025-12-19,2025-12,English,0,0,507,140,62,41
2025-12-19,2025-12,Chinese,0,0,216,124,15,47
2025-12-19,2025-12,Math,0,0,73,43,8,15
2025-12-19,2025-12,Chinese,1,0,3,2,0,3
2025-12-19,2025-12,Chinese,1,1,3,1,0,1
2025-12-19,2025-12,Music,0,0,0,0,0,0
2025-12-19,2025-12,Music,1,0,1,0,0,0
2025-12-19,2025-12,Math,1,0,0,0,0,1
2025-12-18,2025-12,English,0,0,494,188,112,201
2025-12-18,2025-12,English,1,0,251,137,94,32
2025-12-18,2025-12,Chinese,0,0,229,126,43,38
2025-12-18,2025-12,Math,0,0,82,52,14,17
2025-12-18,2025-12,Chinese,1,1,4,4,2,0
2025-12-18,2025-12,Chinese,1,0,3,1,0,1
2025-12-18,2025-12,Music,0,0,0,0,0,0
2025-12-18,2025-12,Music,1,0,0,0,0,0
2025-12-17,2025-12,English,0,0,491,245,169,46
2025-12-17,2025-12,English,1,0,244,126,90,28
2025-12-17,2025-12,Chinese,0,0,198,109,31,16
2025-12-17,2025-12,Math,0,0,106,60,24,13
2025-12-17,2025-12,Chinese,1,0,8,6,6,1
2025-12-17,2025-12,Music,0,0,0,0,0,0
2025-12-17,2025-12,Chinese,1,1,1,0,0,0
2025-12-16,2025-12,English,0,0,337,202,147,40
2025-12-16,2025-12,Chinese,0,0,296,155,75,37
2025-12-16,2025-12,English,1,0,213,131,102,39
2025-12-16,2025-12,Math,0,0,108,72,34,17
2025-12-16,2025-12,Chinese,1,1,8,7,3,2
2025-12-16,2025-12,Chinese,1,0,5,4,0,1
2025-12-15,2025-12,English,0,0,381,163,115,42
2025-12-15,2025-12,Chinese,0,0,354,157,68,51
2025-12-15,2025-12,English,1,0,223,131,90,51
2025-12-15,2025-12,Math,0,0,167,61,33,15
2025-12-15,2025-12,Chinese,1,0,7,4,4,0
2025-12-15,2025-12,Chinese,1,1,7,3,3,2
2025-12-15,2025-12,English,1,1,1,0,0,0
2025-12-15,2025-12,Ace vocab,1,0,0,0,0,1
2025-12-14,2025-12,Chinese,0,0,494,260,88,56
2025-12-14,2025-12,English,1,0,543,254,196,29
2025-12-14,2025-12,English,0,0,197,110,93,62
2025-12-14,2025-12,Math,0,0,204,77,41,24
2025-12-14,2025-12,Chinese,1,0,8,7,3,6
2025-12-14,2025-12,Chinese,1,1,3,1,0,2
2025-12-14,2025-12,Math,1,1,0,0,0,0
2025-12-13,2025-12,English,1,0,417,213,174,18
2025-12-13,2025-12,Chinese,0,0,343,170,56,62
2025-12-13,2025-12,English,0,0,264,148,127,48
2025-12-13,2025-12,Math,0,0,125,77,42,11
2025-12-13,2025-12,Chinese,1,1,9,6,4,1
2025-12-13,2025-12,Math,1,0,4,3,1,2
2025-12-13,2025-12,Chinese,1,0,5,3,3,0
2025-12-13,2025-12,English,1,1,0,0,0,1
2025-12-12,2025-12,English,0,0,420,220,183,197
2025-12-12,2025-12,English,1,0,361,152,122,70
2025-12-12,2025-12,Chinese,0,0,225,128,58,139
2025-12-12,2025-12,Math,0,0,120,80,52,57
2025-12-12,2025-12,Chinese,1,1,7,5,1,2
2025-12-12,2025-12,Chinese,1,0,6,4,2,4
2025-12-12,2025-12,Math,1,0,4,3,2,3
2025-12-12,2025-12,Ace vocab,0,0,0,0,0,1
2025-12-12,2025-12,Math,1,1,0,0,0,1
2025-12-12,2025-12,Ace vocab,1,0,0,0,0,1
2025-12-11,2025-12,English,0,0,351,195,162,76
2025-12-11,2025-12,English,1,0,522,195,157,22
2025-12-11,2025-12,Chinese,0,0,249,153,91,51
2025-12-11,2025-12,Math,0,0,125,88,53,21
2025-12-11,2025-12,Chinese,1,0,8,6,4,1
2025-12-11,2025-12,Chinese,1,1,8,3,2,0
2025-12-11,2025-12,English,1,1,0,0,0,1
2025-12-10,2025-12,English,1,0,432,212,169,13
2025-12-10,2025-12,English,0,0,343,184,153,45
2025-12-10,2025-12,Chinese,0,0,211,123,66,24
2025-12-10,2025-12,Math,0,0,118,73,48,21
2025-12-10,2025-12,Chinese,1,0,15,8,5,1
2025-12-10,2025-12,Math,1,0,5,4,4,1
2025-12-10,2025-12,Chinese,1,1,5,2,2,0
2025-12-10,2025-12,Ace vocab,1,0,0,0,0,1
2025-12-10,2025-12,English,1,1,0,0,0,2
2025-12-09,2025-12,English,1,0,479,250,210,15
2025-12-09,2025-12,English,0,0,282,149,123,35
2025-12-09,2025-12,Chinese,0,0,196,121,72,58
2025-12-09,2025-12,Math,0,0,106,67,44,13
2025-12-09,2025-12,Chinese,1,0,8,5,2,1
2025-12-09,2025-12,Math,1,0,6,3,2,1
2025-12-09,2025-12,Chinese,1,1,3,0,0,1
2025-12-09,2025-12,English,1,1,0,0,0,1
2025-12-08,2025-12,English,1,0,549,273,224,23
2025-12-08,2025-12,English,0,0,329,181,147,29
2025-12-08,2025-12,Chinese,0,0,294,154,90,47
2025-12-08,2025-12,Math,0,0,172,58,36,19
2025-12-08,2025-12,Chinese,1,1,8,4,3,0
2025-12-08,2025-12,Chinese,1,0,4,3,3,0
2025-12-07,2025-12,Chinese,0,0,515,268,127,52
2025-12-07,2025-12,English,1,0,384,219,185,57
2025-12-07,2025-12,English,0,0,233,129,122,102
