供应商维度统计报告
============================================================
数据来源: /Users/yangyibo1/Desktop/st_work/repo/AIDABench/data/numeric/input/data_29_1/page1.xlsx
总记录数: 48
============================================================

一、供应商年限统计
----------------------------------------
供应商年限,数量,占比(%)
1,6,12.5
2,5,10.416666666666668
3,6,12.5
4,3,6.25
5,7,14.583333333333334
6,2,4.166666666666666
7,4,8.333333333333332
8,1,2.083333333333333
9,3,6.25
10,4,8.333333333333332
13,2,4.166666666666666
17,2,4.166666666666666
18,1,2.083333333333333
20,2,4.166666666666666


二、供应商类型统计
----------------------------------------
供应商类型,数量,占比(%)
goldSupplier,26,54.166666666666664
verifiedSupplier / goldSupplier,21,43.75
verifiedSupplier Pro / goldSupplier,1,2.083333333333333


三、供应商星等级统计
----------------------------------------
供应商星等级,数量,占比(%)
1,16,33.33333333333333
2,13,27.083333333333332
3,8,16.666666666666664
4,5,10.416666666666668
5,1,2.083333333333333
缺失值,5,10.416666666666668
