公司,事业部,城市,站点,须排查数,已提交数,提交率,任务完成数,任务完成率
COM公司498BD1,DIV事业部25D750,上海,SITE站点5169F9,3,2,66.7%,1,33.3%
COM公司498BD1,DIV事业部25D750,上海,SITE站点6C18DE,52,26,50%,23,44.2%
COM公司498BD1,DIV事业部08D6DE,上海,SITE站点C6BFAE,7,1,14.3%,0,0%
COM公司498BD1,DIV事业部08D6DE,上海,SITE站点37A092,10,6,60%,1,10%
COM公司498BD1,DIV事业部08D6DE,上海,SITE站点078F3B,1,1,100%,0,0%
COM公司498BD1,DIV事业部08D6DE,上海,SITE站点617A8B,35,14,40%,0,0%
COM公司498BD1,DIV事业部988DF6,上海,SITE站点800CF6,8,1,12.5%,0,0%
COM公司498BD1,DIV事业部988DF6,上海,SITE站点0C9332,1,0,0%,0,0%
COM公司498BD1,DIV事业部988DF6,上海,SITE站点AB9AF2,3,3,100%,0,0%
COM公司498BD1,DIV事业部988DF6,上海,SITE站点9A3D21,41,30,73.2%,9,22.0%
COM公司498BD1,DIV事业部22AEAB,北京,SITE站点37BF54,15,8,53.3%,6,40%
COM公司498BD1,DIV事业部22AEAB,北京,SITE站点2C9C63,26,16,61.5%,15,57.7%
COM公司498BD1,DIV事业部22AEAB,北京,SITE站点AE4D82,21,18,85.7%,15,71.4%
COM公司498BD1,DIV事业部22AEAB,青岛,SITE站点F1FC3D,3,2,66.7%,0,0%
COM公司498BD1,DIV事业部22AEAB,青岛,SITE站点474524,14,5,35.7%,0,0%
COM公司498BD1,DIV事业部BBAE98,武汉,SITE站点A3140B,8,5,62.5%,5,62.5%
COM公司498BD1,DIV事业部BBAE98,武汉,SITE站点51C6CA,33,4,12.1%,3,9.09%
COM公司498BD1,DIV事业部BBAE98,长沙,SITE站点736436,4,3,75%,0,0%
COM公司498BD1,DIV事业部BBAE98,长沙,SITE站点E834D5,9,2,22.2%,0,0%
COM公司498BD1,DIV事业部F98256,厦门,SITE站点74E81F,24,11,45.8%,0,0%
COM公司498BD1,DIV事业部F98256,厦门,SITE站点594266,11,4,36.4%,0,0%
COM公司498BD1,DIV事业部F98256,厦门,SITE站点453F9F,20,10,50%,0,0%
COM公司498BD1,DIV事业部F98256,泉州,SITE站点A9FB95,9,1,11.1%,0,0%
COM公司498BD1,DIV事业部1F6BFC,成都,SITE站点085ABA,12,12,100%,12,100%
COM公司498BD1,DIV事业部1F6BFC,成都,SITE站点7727B1,44,14,31.8%,14,31.8%
COM公司498BD1,DIV事业部1F6BFC,重庆,SITE站点AE1B4F,2,2,100%,2,100%
COM公司498BD1,DIV事业部1F6BFC,重庆,SITE站点987384,17,9,52.9%,9,52.9%
COM公司498BD1,DIV事业部C2D65F,佛山,SITE站点CE719D,10,2,20%,2,20%
COM公司498BD1,DIV事业部C2D65F,广州,SITE站点3EC3AB,3,2,66.7%,2,66.7%
COM公司498BD1,DIV事业部C2D65F,广州,SITE站点807C24,6,4,66.7%,3,50%
COM公司498BD1,DIV事业部C2D65F,广州,SITE站点66B48D,7,4,57.1%,4,57.1%
COM公司498BD1,DIV事业部C2D65F,广州,SITE站点35D042,10,6,60%,5,50%
COM公司498BD1,DIV事业部9BED02,上海,SITE站点ADC4BF,25,25,100%,25,100%
COM公司498BD1,DIV事业部9BED02,北京,SITE站点44AE7D,22,22,100%,22,100%
COM公司498BD1,DIV事业部9BED02,北京,SITE站点B64E2E,1,1,100%,1,100%
COM公司498BD1,DIV事业部9BED02,南京,SITE站点F2BBD2,7,7,100%,7,100%
COM公司498BD1,DIV事业部9BED02,厦门,SITE站点65E6DD,5,4,80%,4,80%
COM公司498BD1,DIV事业部9BED02,厦门,SITE站点DD210D,3,3,100%,3,100%
COM公司498BD1,DIV事业部9BED02,广州,SITE站点6FC275,8,8,100%,7,87.5%
COM公司498BD1,DIV事业部9BED02,杭州,SITE站点D20144,14,14,100%,14,100%
COM公司498BD1,DIV事业部9BED02,深圳,SITE站点A5F65A,9,9,100%,9,100%
COM公司498BD1,DIV事业部75E978,宁波,SITE站点F52745,10,9,90%,9,90%
COM公司498BD1,DIV事业部75E978,宁波,SITE站点C933EE,23,12,52.2%,12,52.2%
COM公司498BD1,DIV事业部75E978,杭州,SITE站点C5358F,19,6,31.6%,6,31.6%
COM公司498BD1,DIV事业部75E978,杭州,SITE站点1FD7EB,10,2,20%,1,10%
COM公司498BD1,DIV事业部75E978,杭州,SITE站点905D5D,35,13,37.1%,10,28.6%
COM公司498BD1,DIV事业部E49E85,深圳,SITE站点59E472,16,11,68.8%,0,0%
COM公司498BD1,DIV事业部E49E85,深圳,SITE站点39CA13,10,10,100%,10,100%
COM公司498BD1,DIV事业部E49E85,深圳,SITE站点D70EE0,5,5,100%,0,0%
COM公司498BD1,DIV事业部E49E85,深圳,SITE站点51D0C3,18,13,72.2%,10,55.6%
COM公司498BD1,DIV事业部CDD15F,福州,SITE站点D8C7B4,2,2,100%,2,100%
COM公司498BD1,DIV事业部CDD15F,福州,SITE站点D4D3BD,9,7,77.8%,7,77.8%
COM公司498BD1,DIV事业部C3ABA1,南京,SITE站点4625BE,8,7,87.5%,7,87.5%
COM公司498BD1,DIV事业部C3ABA1,南京,SITE站点2384C8,28,18,64.3%,18,64.3%
COM公司498BD1,DIV事业部F263A7,南通,SITE站点95C7E5,17,2,11.8%,0,0%
COM公司498BD1,DIV事业部F263A7,无锡,SITE站点3AC6DC,5,3,60%,0,0%
COM公司498BD1,DIV事业部F263A7,无锡,SITE站点2BCCA3,14,5,35.7%,0,0%
COM公司498BD1,DIV事业部F263A7,苏州,SITE站点0F0F34,16,9,56.3%,0,0%
COM公司498BD1,DIV事业部F263A7,苏州,SITE站点C4991B,20,12,60%,0,0%
COM公司498BD1,DIV事业部F263A7,苏州,SITE站点9FE1D0,16,1,6.25%,0,0%
