分析类型,期间,公司2数值,公司2变化率%,公司3数值,公司3变化率%
季度同比,2024Q1,1132.0,3.1905195989061075,2131.0,-14.725890356142457
季度同比,2024Q2,1340.0,8.414239482200648,2474.0,31.107578166401694
季度同比,2024Q3,1047.0,0.09560229445506692,2216.0,-10.789049919484702
季度同比,2024Q4,1276.0,15.684496826835904,2223.0,13.534218590398368
季度同比,2025Q1,1297.0,14.575971731448764,2271.0,6.56968559361802
季度同比,2025Q2,1146.0,-14.477611940298507,2013.0,-18.633791430881164
季度同比,2025Q3,1138.0,8.691499522445081,2438.0,10.018050541516246
季度同比,2025Q4,1191.0,-6.661442006269593,2249.0,1.1695906432748537
年度同比,2024,4795.0,6.983489513609996,9044.0,2.4467603081105573
年度同比,2025,4772.0,-0.4796663190823775,8971.0,-0.8071649712516585
